fips,county,state,year,per_capita_income,gdp_thousands,median_income,poverty_rate,pct_bachelors,pop_density,unemployment_acs,median_age,elec_rate_cents_kwh,residential_sales_mwh,residential_customers,total_employment,total_wages,avg_annual_wage,data_processing_employment,total_establishments,unemployment_rate,labor_force,wfh_rate,covid_deaths_per_100k,covid_cases_per_100k,role,is_treated,dc_opening_year,dc_active,years_since_dc,primary_operator,all_operators,analysis_diD,classifier_dc,cohort_flags
01001,Autauga County,AL,2010,33685.0,1409007.0,53255.0,,21.7,89.41788795133702,6.2,36.2,11.239873880734418,,,10694.0,339507223.0,31748.0,,877.0,8.8,25749.0,1.9429364463855667,0.0,0.0,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2011,34430.0,1493906.0,53899.0,,21.6,90.74515186994496,7.5,36.4,11.559098686410591,,,10627.0,344356024.0,32404.0,,862.0,8.3,25845.0,2.46827385108218,0.0,0.0,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2012,35151.0,1726577.0,53773.0,11.6,21.7,91.83185971711951,8.6,37.0,11.829990407731142,,,10137.0,341513497.0,33690.0,,842.0,7.1,25762.0,2.113340719766917,0.0,0.0,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2013,35348.0,1618151.0,53682.0,12.1,20.9,92.36512037896831,9.4,37.5,11.672159518642164,,,10193.0,346301954.0,33976.0,,830.0,6.3,25783.0,2.1123260437375744,0.0,0.0,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2014,36329.0,1629762.0,52475.0,12.8,21.9,92.75034653531968,8.5,37.9,11.888653904168663,,,10458.0,357996403.0,34232.0,,822.0,5.8,25639.0,1.585014409221902,0.0,0.0,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2015,38107.0,1765826.0,51281.0,12.9,23.2,92.89333440994793,7.6,37.7,12.261904727533446,,,10587.0,372121908.0,35148.0,,845.0,5.2,25541.0,1.8449419568822552,0.0,0.0,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2016,39005.0,1846256.0,53099.0,12.3,24.6,92.60399424011196,5.6,37.8,12.681787441472054,,,10739.0,390543141.0,36366.0,,860.0,5.1,25710.0,2.0903629330919267,0.0,0.0,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2017,39906.0,1762558.0,55317.0,13.7,25.0,92.58212550634528,5.2,37.8,13.394050981126329,,,10823.0,403973438.0,37327.0,,870.0,4.0,26269.0,2.4707091469681397,0.0,0.0,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2018,41062.0,1787534.0,58786.0,15.4,27.7,92.8580079938633,4.2,37.8,12.84498047618202,,,10974.0,421471042.0,38407.0,,871.0,3.6,26471.0,2.763222531521205,0.0,0.0,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2019,42538.0,1740015.0,58731.0,15.2,26.6,93.1608058460172,3.7,38.2,13.432350098549191,,,11107.0,448078198.0,40344.0,,888.0,2.9,26683.0,3.4057235640349095,0.0,0.0,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2020,45089.0,1749999.0,57982.0,15.2,28.3,93.59649831106088,2.9,38.6,13.505080069553175,,,10794.0,465745049.0,43147.0,,910.0,5.3,26350.0,3.823800553128382,86.674,7565.908,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2021,49254.0,1738222.0,62660.0,13.6,28.1,97.970245064395,2.8,38.5,14.028458993444906,,,11123.0,489569075.0,44015.0,,964.0,2.8,26429.0,4.739587270390808,202.239,12329.361,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2022,49879.0,1883611.0,68315.0,11.4,29.6,98.84835883564132,2.8,39.0,15.467595121150126,,,11535.0,537282230.0,46578.0,6.0,1020.0,2.2,26656.0,5.338315267655655,126.399,14342.723,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2023,52989.0,1907174.0,69841.0,10.7,28.3,99.72983702746713,2.5,39.2,,,,11871.0,591550069.0,49832.0,,1073.0,,,5.786625148279953,9.029,1536.656,control,0,,0,0.0,,,1,0,
01001,Autauga County,AL,2024,55710.0,1758017.0,,,,,,,16.767773491638206,,,12383.0,629398983.0,50826.0,,1120.0,,,,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2010,36794.0,6012889.0,50147.0,,26.8,110.57178224672232,6.6,41.0,11.17121980877209,,,58140.0,1813332562.0,31189.0,18.0,5171.0,9.9,83551.0,3.2338308457711444,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2011,38032.0,5930698.0,51321.0,,27.2,112.91919418103502,7.7,41.4,11.468995324455932,,,59581.0,1867342552.0,31341.0,18.0,5158.0,9.0,85077.0,3.2855147898946298,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2012,38284.0,5998672.0,50706.0,13.3,27.7,115.24836524018828,8.5,41.2,11.736313983687037,,,60440.0,1926968200.0,31882.0,32.0,5172.0,7.7,84507.0,3.2731064984671057,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2013,38401.0,6314704.0,50221.0,13.9,27.7,117.69390050294496,9.2,41.5,11.599465174120096,,,62719.0,2039249324.0,32514.0,32.0,5247.0,6.7,85206.0,3.4135873677420956,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2014,39568.0,6455247.0,50183.0,13.8,28.6,120.26712189181777,8.6,41.8,11.792718984337606,,,65024.0,2153975449.0,33126.0,,5401.0,6.1,86546.0,3.284875934448584,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2015,41470.0,6757534.0,50254.0,13.4,29.0,122.73026903403871,7.5,42.2,12.143035448964737,,,67585.0,2289992521.0,33883.0,45.0,5596.0,5.6,87493.0,3.928808103758402,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2016,42983.0,7113177.0,51365.0,13.0,29.5,125.49093114006727,6.3,42.3,12.56720994800317,,,70107.0,2405999881.0,34319.0,46.0,5822.0,5.4,89778.0,5.077047850770478,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2017,44475.0,7382558.0,52562.0,11.8,30.7,127.91256456640812,5.5,42.6,13.249457822322874,,,71999.0,2542347527.0,35311.0,46.0,6072.0,4.2,93152.0,5.647961565171852,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2018,45840.0,7758980.0,55962.0,10.6,31.3,130.89840713130158,4.4,42.8,12.71482989779699,,,74051.0,2724884967.0,36797.0,69.0,6305.0,3.6,96235.0,6.13323124042879,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2019,47921.0,8145105.0,58320.0,10.4,31.9,133.8691537995114,4.3,43.0,13.23919109676734,,,76419.0,2926328541.0,38293.0,,6471.0,2.9,98917.0,6.503043772345154,0.0,0.0,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2020,50935.0,8110635.0,61756.0,9.2,31.9,137.30284129935416,3.9,43.2,13.328128719303502,,,73087.0,3023837650.0,41373.0,70.0,6686.0,6.1,98695.0,6.435765927207563,75.647,6390.546,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2021,56504.0,8697749.0,64346.0,9.2,32.5,142.86442123590106,3.7,43.4,13.815367357204511,,,76546.0,3373892203.0,44077.0,78.0,7172.0,2.9,99520.0,7.806137359961032,202.979,12361.979,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2022,57721.0,9224845.0,71039.0,10.2,32.6,146.8201751627212,3.4,43.7,15.210186905012767,,,79972.0,3760240355.0,47019.0,97.0,7766.0,2.3,102280.0,9.100269210787324,59.202,12961.049,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2023,61354.0,9928360.0,75019.0,10.5,32.8,150.92437207359754,3.2,43.7,,,,82764.0,4041941423.0,48837.0,98.0,8302.0,,,9.964800768655133,5.168,1195.32,control,0,,0,0.0,,,1,0,
01003,Baldwin County,AL,2024,63905.0,10208956.0,,,,,,,16.45724169054672,,,85118.0,4354332805.0,51157.0,99.0,8757.0,,,,0.0,0.0,control,0,,0,0.0,,,1,0,
01031,Coffee County,AL,2010,35421.0,1329843.0,42253.0,,22.1,71.20765376605704,7.5,37.9,11.254791252870207,,,14686.0,430453146.0,29310.0,,1053.0,8.5,21099.0,2.352137419480773,0.0,0.0,control,0,,0,0.0,,,1,0,
01031,Coffee County,AL,2011,36021.0,1249698.0,42065.0,,21.3,72.49192177747406,7.3,37.7,11.564569941772216,,,14441.0,433665785.0,30031.0,,1016.0,8.1,20745.0,2.3959341723136496,0.0,0.0,control,0,,0,0.0,,,1,0,
