fips,year,unemployment_rate,labor_force
31001,2010,4.8,16472
31001,2011,4.3,16493
31001,2012,3.7,16851
31001,2013,3.6,16906
31001,2014,3.4,16728
31001,2015,3.1,16677
31001,2016,3.1,16749
31001,2017,3.1,16775
31001,2018,3.0,16774
31001,2019,3.2,16999
31001,2020,4.0,17038
31001,2021,2.5,16879
31001,2022,2.1,17196
31003,2010,3.7,3522
31003,2011,3.6,3599
31003,2012,3.2,3573
31003,2013,3.1,3607
31003,2014,2.7,3594
31003,2015,2.6,3610
31003,2016,2.6,3613
31003,2017,2.5,3595
31003,2018,2.5,3612
31003,2019,2.6,3635
31003,2020,2.2,3932
31003,2021,1.7,3668
31003,2022,1.8,3662
31005,2010,8.0,225
31005,2011,6.1,231
31005,2012,6.5,230
31005,2013,7.3,219
31005,2014,5.4,224
31005,2015,4.4,225
31005,2016,5.7,228
31005,2017,5.8,223
31005,2018,4.9,223
31005,2019,5.6,231
31005,2020,5.1,234
31005,2021,3.0,235
31005,2022,2.2,232
31007,2010,4.4,413
31007,2011,4.6,433
31007,2012,4.4,436
31007,2013,4.4,435
31007,2014,3.7,437
31007,2015,3.4,442
31007,2016,3.6,420
31007,2017,3.6,393
31007,2018,3.6,384
31007,2019,3.9,385
31007,2020,3.1,393
31007,2021,2.1,386
31007,2022,2.8,387
31009,2010,5.1,257
31009,2011,5.4,280
31009,2012,5.3,283
31009,2013,5.1,272
31009,2014,4.4,275
31009,2015,4.5,269
31009,2016,4.5,267
31009,2017,4.5,264
31009,2018,4.5,264
31009,2019,5.0,259
31009,2020,3.5,255
31009,2021,2.8,248
31009,2022,3.6,253
31011,2010,3.6,2955
31011,2011,3.7,3041
31011,2012,3.0,3036
31011,2013,3.2,3049
31011,2014,2.6,3025
31011,2015,2.4,3024
31011,2016,2.6,3021
31011,2017,2.5,2956
31011,2018,2.3,2949
31011,2019,2.8,2998
31011,2020,2.5,2953
31011,2021,1.7,2938
31011,2022,1.7,3006
31013,2010,5.1,5844
31013,2011,4.2,5983
31013,2012,3.9,5964
31013,2013,3.8,5967
31013,2014,3.1,5747
31013,2015,3.0,5683
31013,2016,3.6,5675
31013,2017,3.3,5478
31013,2018,2.9,5470
31013,2019,3.2,5482
31013,2020,4.8,5409
31013,2021,2.6,5451
31013,2022,2.2,5319
31015,2010,4.0,1105
31015,2011,3.8,1149
31015,2012,3.8,1145
31015,2013,3.4,1125
31015,2014,3.3,1100
31015,2015,2.7,1093
31015,2016,3.0,1105
31015,2017,3.4,1089
31015,2018,3.0,1090
31015,2019,3.4,1092
31015,2020,2.8,1057
31015,2021,2.0,1028
31015,2022,2.1,1030
31017,2010,4.8,1460
31017,2011,4.6,1465
31017,2012,3.9,1449
31017,2013,3.8,1432
31017,2014,3.4,1421
31017,2015,3.7,1400
31017,2016,3.7,1388
31017,2017,3.3,1415
31017,2018,3.4,1406
31017,2019,3.7,1416
31017,2020,2.7,1421
31017,2021,2.4,1426
31017,2022,2.4,1424
31019,2010,3.7,26344
31019,2011,3.5,26875
31019,2012,3.2,27253
31019,2013,3.2,27351
31019,2014,2.7,27498
31019,2015,2.4,27245
31019,2016,2.5,27371
31019,2017,2.5,27526
31019,2018,2.4,28068
31019,2019,2.7,28203
31019,2020,4.0,27871
31019,2021,2.1,27972
31019,2022,1.8,28257
31021,2010,6.0,3637
31021,2011,5.7,3639
31021,2012,4.6,3670
31021,2013,4.4,3645
31021,2014,3.9,3584
31021,2015,3.6,3624
31021,2016,3.7,3566
31021,2017,3.7,3537
31021,2018,3.5,3507
31021,2019,3.4,3543
31021,2020,3.9,3596
31021,2021,2.6,3590
31021,2022,2.2,3569
31023,2010,4.0,4643
31023,2011,3.8,4747
31023,2012,3.2,4734
31023,2013,3.3,4775
31023,2014,2.9,4830
31023,2015,2.8,4757
31023,2016,3.2,4652
31023,2017,2.8,4606
31023,2018,2.4,4602
31023,2019,2.6,4679
31023,2020,3.4,4626
31023,2021,2.3,4674
31023,2022,1.7,4706
31025,2010,5.7,13387
31025,2011,5.3,13385
31025,2012,4.5,13282
31025,2013,4.2,13274
31025,2014,3.7,13244
31025,2015,3.3,13123
31025,2016,3.4,13217
31025,2017,3.2,13289
31025,2018,3.1,13494
31025,2019,3.4,13712
31025,2020,4.4,13481
31025,2021,2.8,13487
31025,2022,2.3,13583
31027,2010,3.6,4619
31027,2011,3.3,4710
31027,2012,2.8,4732
31027,2013,2.9,4718
31027,2014,2.3,4670
31027,2015,2.4,4660
31027,2016,2.5,4595
31027,2017,2.3,4511
31027,2018,2.4,4526
31027,2019,2.6,4582
31027,2020,2.7,4564
31027,2021,1.9,4633
31027,2022,1.8,4628
31029,2010,2.8,2289
31029,2011,2.5,2348
31029,2012,2.3,2369
31029,2013,2.3,2399
31029,2014,2.0,2349
31029,2015,1.9,2348
31029,2016,2.0,2304
31029,2017,1.9,2325
31029,2018,2.3,2304
31029,2019,2.3,2303
31029,2020,1.8,2289
31029,2021,1.7,2239
31029,2022,1.7,2280
31031,2010,3.0,3378
31031,2011,3.0,3454
31031,2012,2.8,3476
31031,2013,2.7,3480
31031,2014,2.4,3417
31031,2015,2.3,3463
31031,2016,2.3,3491
31031,2017,2.3,3423
31031,2018,2.2,3376
31031,2019,2.4,3411
31031,2020,2.5,3399
31031,2021,1.6,3447
31031,2022,1.6,3395
31033,2010,3.7,5549
31033,2011,3.0,5685
31033,2012,2.7,5778
31033,2013,2.8,5801
31033,2014,2.2,5751
31033,2015,2.2,5770
31033,2016,2.8,5483
31033,2017,2.9,5147
31033,2018,2.9,4756
31033,2019,3.7,4443
31033,2020,4.5,4290
31033,2021,2.9,4239
31033,2022,2.3,4228
31035,2010,4.3,3428
31035,2011,4.2,3485
31035,2012,3.6,3479
31035,2013,3.4,3492
31035,2014,3.2,3463
31035,2015,2.9,3387
31035,2016,3.1,3340
31035,2017,3.1,3308
31035,2018,3.2,3290
31035,2019,3.3,3339
31035,2020,3.3,3303
31035,2021,2.4,3246
31035,2022,2.2,3103
31037,2010,4.0,5650
31037,2011,3.9,5686
31037,2012,3.4,5653
31037,2013,3.4,5607
31037,2014,3.0,5625
31037,2015,2.6,5572
31037,2016,2.8,5582
31037,2017,2.4,5651
31037,2018,2.5,5659
31037,2019,2.7,5658
31037,2020,2.9,5676
31037,2021,2.0,5688
31037,2022,1.8,5755
31039,2010,3.7,4856
31039,2011,3.4,4925
31039,2012,3.0,4905
31039,2013,3.0,4945
31039,2014,2.6,4952
31039,2015,2.6,4858
31039,2016,2.9,4742
31039,2017,2.7,4774
31039,2018,2.5,4747
31039,2019,2.6,4807
31039,2020,2.6,4891
31039,2021,1.8,4907
31039,2022,1.8,4858
31041,2010,3.7,5977
31041,2011,3.4,6050
31041,2012,2.8,6098
31041,2013,2.7,6143
31041,2014,2.4,6138
31041,2015,2.2,6309
31041,2016,2.3,6387
31041,2017,2.2,6444
31041,2018,2.2,6500
31041,2019,2.4,6494
31041,2020,2.7,6428
31041,2021,1.7,6377
31041,2022,1.6,6362
31043,2010,7.5,11290
31043,2011,5.9,11018
31043,2012,5.6,11167
31043,2013,4.6,11174
31043,2014,3.7,11054
31043,2015,3.5,11038
31043,2016,4.1,10969
31043,2017,4.1,10733
31043,2018,3.6,10810
31043,2019,4.0,10880
31043,2020,4.8,10723
31043,2021,3.2,10775
31043,2022,2.6,10971
31045,2010,4.0,5490
31045,2011,3.9,5476
31045,2012,3.6,5405
31045,2013,3.5,5411
31045,2014,2.9,5288
31045,2015,2.6,5271
31045,2016,2.9,5243
31045,2017,2.8,5210
31045,2018,2.7,5082
31045,2019,2.9,5052
31045,2020,2.8,4986
31045,2021,2.0,4995
31045,2022,2.0,5024
31047,2010,5.0,13192
31047,2011,5.0,13194
31047,2012,4.2,13248
31047,2013,3.7,13230
31047,2014,3.4,13340
31047,2015,3.2,13115
31047,2016,2.9,13037
31047,2017,2.9,13060
31047,2018,2.9,13097
31047,2019,3.0,13249
31047,2020,3.4,13453
31047,2021,2.2,13489
31047,2022,2.3,13640
31049,2010,4.0,1030
31049,2011,3.5,1069
31049,2012,3.2,1190
31049,2013,3.3,1130
31049,2014,2.7,1092
31049,2015,2.5,1079
31049,2016,2.6,1067
31049,2017,2.6,1045
31049,2018,3.0,972
31049,2019,3.1,968
31049,2020,3.1,966
31049,2021,2.2,972
31049,2022,2.3,1022
31051,2010,4.9,3111
31051,2011,4.6,3162
31051,2012,4.0,3134
31051,2013,3.7,3112
31051,2014,3.0,3059
31051,2015,3.3,3094
31051,2016,3.3,3086
31051,2017,3.2,3043
31051,2018,3.1,3048
31051,2019,3.1,3032
31051,2020,3.3,2958
31051,2021,2.3,2972
31051,2022,2.0,3029
31053,2010,5.4,18827
31053,2011,4.9,19138
31053,2012,4.4,19229
31053,2013,4.1,19192
31053,2014,3.6,19232
31053,2015,3.2,19171
31053,2016,3.1,19237
31053,2017,2.8,19536
31053,2018,2.9,19647
31053,2019,3.0,19900
31053,2020,3.5,20310
31053,2021,2.4,20380
31053,2022,2.0,20685
31055,2010,5.2,278916
31055,2011,4.9,282153
31055,2012,4.3,285026
31055,2013,4.1,285565
31055,2014,3.6,286657
31055,2015,3.3,287891
31055,2016,3.3,289613
31055,2017,3.2,293773
31055,2018,3.2,298402
31055,2019,3.3,303880
31055,2020,5.1,302641
31055,2021,3.1,301813
31055,2022,2.5,303746
31057,2010,3.2,1215
31057,2011,2.9,1275
31057,2012,2.8,1279
31057,2013,2.7,1300
31057,2014,2.3,1278
31057,2015,2.1,1201
31057,2016,2.2,1202
31057,2017,2.4,1192
31057,2018,2.2,1164
31057,2019,2.6,1168
31057,2020,2.2,1168
31057,2021,1.6,1160
31057,2022,1.4,1178
31059,2010,3.8,3235
31059,2011,3.5,3325
31059,2012,3.2,3314
