fips,year,unemployment_rate,labor_force
01001,2010,8.8,25749
01001,2011,8.3,25845
01001,2012,7.1,25762
01001,2013,6.3,25783
01001,2014,5.8,25639
01001,2015,5.2,25541
01001,2016,5.1,25710
01001,2017,4.0,26269
01001,2018,3.6,26471
01001,2019,2.9,26683
01001,2020,5.3,26350
01001,2021,2.8,26429
01001,2022,2.2,26656
01003,2010,9.9,83551
01003,2011,9.0,85077
01003,2012,7.7,84507
01003,2013,6.7,85206
01003,2014,6.1,86546
01003,2015,5.6,87493
01003,2016,5.4,89778
01003,2017,4.2,93152
01003,2018,3.6,96235
01003,2019,2.9,98917
01003,2020,6.1,98695
01003,2021,2.9,99520
01003,2022,2.3,102280
01031,2010,8.5,21099
01031,2011,8.1,20745
01031,2012,7.2,20625
01031,2013,7.0,20495
01031,2014,6.6,20264
01031,2015,6.0,20222
01031,2016,5.9,20429
01031,2017,4.5,21128
01031,2018,3.9,21230
01031,2019,3.1,22075
01031,2020,4.8,21963
01031,2021,2.8,21530
01031,2022,2.5,21624
01033,2010,11.3,24229
01033,2011,10.1,24385
01033,2012,9.0,24057
01033,2013,8.3,23879
01033,2014,8.3,24069
01033,2015,8.0,23550
01033,2016,7.0,23261
01033,2017,5.3,23525
01033,2018,4.6,23795
01033,2019,4.0,24080
01033,2020,7.2,23837
01033,2021,3.9,23506
01033,2022,3.0,23749
01045,2010,8.7,22099
01045,2011,8.3,22020
01045,2012,7.6,21388
01045,2013,7.5,20732
01045,2014,7.0,20351
01045,2015,6.4,19789
01045,2016,5.8,19796
01045,2017,4.6,20166
01045,2018,4.2,20474
01045,2019,3.3,20919
01045,2020,5.3,20883
01045,2021,3.1,20883
01045,2022,2.5,21026
01071,2010,11.6,24347
01071,2011,10.2,24160
01071,2012,8.8,23760
01071,2013,8.0,23669
01071,2014,7.2,23489
01071,2015,6.7,23407
01071,2016,6.3,23390
01071,2017,4.9,23377
01071,2018,4.1,23662
01071,2019,3.5,23691
01071,2020,5.8,23039
