fips,year,total_employment,total_wages,avg_annual_wage,data_processing_employment,total_establishments
31001,2010,14653.0,468593135.0,31979.0,,1029.0
31001,2011,14627.0,477199127.0,32624.0,,1026.0
31001,2012,15226.0,512728128.0,33675.0,,1171.0
31001,2013,15285.0,517178037.0,33836.0,,1199.0
31001,2014,15309.0,535510238.0,34981.0,,1197.0
31001,2015,15370.0,551190872.0,35862.0,,1192.0
31001,2016,15513.0,568609053.0,36653.0,,1203.0
31001,2017,15449.0,587312019.0,38016.0,,1179.0
31001,2018,15339.0,604772747.0,39427.0,,1146.0
31001,2019,15394.0,625822700.0,40653.0,,1115.0
31001,2020,14968.0,639368818.0,42715.0,,1089.0
31001,2021,15028.0,672349118.0,44740.0,,1111.0
31001,2022,15440.0,733279474.0,47491.0,2.0,1126.0
31003,2010,1999.0,53687283.0,26856.0,,259.0
31003,2011,2008.0,56356162.0,28061.0,,264.0
31003,2012,2031.0,59373958.0,29233.0,,281.0
31003,2013,2079.0,62153196.0,29899.0,,293.0
31003,2014,2105.0,66089318.0,31400.0,,303.0
31003,2015,2130.0,69188054.0,32490.0,,304.0
31003,2016,2140.0,70828150.0,33099.0,,302.0
31003,2017,2164.0,76025718.0,35131.0,,293.0
31003,2018,2201.0,80813445.0,36721.0,,287.0
31003,2019,2193.0,82209028.0,37486.0,,287.0
31003,2020,2454.0,106268965.0,43307.0,,277.0
31003,2021,2226.0,91073987.0,40908.0,,291.0
31003,2022,2202.0,97080181.0,44097.0,,293.0
31005,2010,86.0,1754767.0,20464.0,,21.0
31005,2011,90.0,1718516.0,19148.0,,20.0
31005,2012,87.0,1753448.0,20155.0,,21.0
31005,2013,81.0,1773311.0,21938.0,,21.0
31005,2014,84.0,1929976.0,22930.0,,20.0
31005,2015,88.0,2266014.0,25653.0,,18.0
31005,2016,84.0,2391184.0,28438.0,,17.0
31005,2017,84.0,2410065.0,28691.0,,17.0
31005,2018,84.0,2397462.0,28598.0,,16.0
31005,2019,89.0,2396557.0,26953.0,,19.0
31005,2020,86.0,2522449.0,29474.0,,20.0
31005,2021,95.0,2584412.0,27228.0,,21.0
31005,2022,92.0,2522401.0,27442.0,,18.0
31007,2010,151.0,5013771.0,33277.0,,17.0
31007,2011,158.0,5329717.0,33822.0,,16.0
31007,2012,163.0,5319133.0,32583.0,,19.0
31007,2013,168.0,5882322.0,35031.0,,19.0
31007,2014,154.0,5535043.0,36020.0,,17.0
31007,2015,154.0,5714203.0,37065.0,,19.0
31007,2016,129.0,4459413.0,34636.0,,16.0
31007,2017,112.0,4050461.0,36219.0,,12.0
31007,2018,110.0,4059703.0,36767.0,,10.0
31007,2019,107.0,4017989.0,37669.0,,11.0
31007,2020,116.0,4487962.0,38857.0,,13.0
31007,2021,117.0,4460318.0,37987.0,,13.0
31007,2022,112.0,4782876.0,42832.0,,12.0
31009,2010,153.0,3923211.0,25726.0,,23.0
31009,2011,144.0,4163948.0,29017.0,,24.0
31009,2012,153.0,3920211.0,25664.0,,27.0
31009,2013,145.0,3896133.0,26901.0,,26.0
31009,2014,144.0,5017185.0,34821.0,,26.0
31009,2015,129.0,4089289.0,31618.0,,23.0
31009,2016,125.0,4084794.0,32788.0,,23.0
31009,2017,127.0,4479418.0,35179.0,,24.0
31009,2018,129.0,4544363.0,35137.0,,25.0
31009,2019,125.0,4565792.0,36453.0,,25.0
31009,2020,127.0,4792580.0,37886.0,,23.0
31009,2021,125.0,4880458.0,39122.0,,24.0
31009,2022,121.0,5100892.0,42098.0,,25.0
31011,2010,2222.0,63283106.0,28487.0,,247.0
31011,2011,2276.0,67435365.0,29627.0,,253.0
31011,2012,2317.0,70827355.0,30566.0,,264.0
31011,2013,2343.0,74394361.0,31749.0,,261.0
31011,2014,2354.0,76893710.0,32665.0,,267.0
31011,2015,2373.0,79148687.0,33350.0,,265.0
31011,2016,2371.0,81792494.0,34495.0,,267.0
31011,2017,2314.0,83078406.0,35908.0,,271.0
31011,2018,2373.0,88940380.0,37488.0,,271.0
31011,2019,2382.0,93782207.0,39366.0,,267.0
31011,2020,2329.0,96370641.0,41382.0,,262.0
31011,2021,2337.0,100602177.0,43054.0,,274.0
31011,2022,2382.0,109107689.0,45807.0,,273.0
31013,2010,3803.0,115032582.0,30251.0,,373.0
31013,2011,3830.0,122448973.0,31973.0,,373.0
31013,2012,3997.0,127744934.0,31961.0,,441.0
31013,2013,4020.0,132668531.0,32999.0,,457.0
31013,2014,4009.0,135560658.0,33818.0,,447.0
31013,2015,3912.0,134987965.0,34506.0,,435.0
31013,2016,3860.0,132919795.0,34432.0,,431.0
31013,2017,3816.0,137959900.0,36155.0,,435.0
31013,2018,3806.0,139693162.0,36707.0,,431.0
31013,2019,3754.0,141402416.0,37665.0,,414.0
31013,2020,3563.0,140474699.0,39423.0,,394.0
31013,2021,3631.0,147311261.0,40569.0,,407.0
31013,2022,3569.0,155191368.0,43488.0,,403.0
31015,2010,555.0,12160934.0,21908.0,,92.0
31015,2011,579.0,13088727.0,22612.0,,96.0
31015,2012,589.0,13536831.0,22986.0,,101.0
31015,2013,580.0,13823292.0,23833.0,,104.0
31015,2014,580.0,14677813.0,25314.0,,107.0
31015,2015,585.0,15959758.0,27289.0,,112.0
31015,2016,600.0,16897193.0,28170.0,,110.0
31015,2017,587.0,16982480.0,28947.0,,108.0
31015,2018,600.0,17670411.0,29475.0,,105.0
31015,2019,596.0,21367527.0,35847.0,,105.0
31015,2020,561.0,18039130.0,32146.0,,104.0
31015,2021,539.0,17994231.0,33379.0,,104.0
31015,2022,540.0,18273838.0,33851.0,,100.0
31017,2010,1227.0,32117629.0,26169.0,,156.0
