fips,county_name,state,year,median_income,poverty_rate,pct_bachelors,pop_density,unemployment_acs,median_age
39143,"Sandusky County, Ohio",OH,2010,48056.0,,13.1,150.11537161417382,6.6,40.3
39145,"Scioto County, Ohio",OH,2010,32812.0,,12.7,129.4577518458727,12.2,38.6
39147,"Seneca County, Ohio",OH,2010,42573.0,,16.1,103.60854115776752,9.0,38.9
39149,"Shelby County, Ohio",OH,2010,48475.0,,14.0,121.04666735345626,7.0,37.4
39151,"Stark County, Ohio",OH,2010,44941.0,,20.4,654.2132756208009,8.8,40.6
39153,"Summit County, Ohio",OH,2010,47926.0,,29.2,1315.7926612127628,8.6,39.5
39155,"Trumbull County, Ohio",OH,2010,42296.0,,16.3,344.24794653300995,9.0,42.0
39157,"Tuscarawas County, Ohio",OH,2010,42081.0,,14.3,163.04158170144294,7.3,40.5
39159,"Union County, Ohio",OH,2010,68452.0,,27.3,117.44514879828793,5.9,36.1
39161,"Van Wert County, Ohio",OH,2010,44415.0,,14.1,70.94952951240377,9.3,39.3
39163,"Vinton County, Ohio",OH,2010,34242.0,,9.2,32.702007954214764,9.7,38.9
39165,"Warren County, Ohio",OH,2010,71274.0,,35.9,517.6283608227648,6.3,37.0
39167,"Washington County, Ohio",OH,2010,41654.0,,16.0,98.20973647650061,8.3,42.0
39169,"Wayne County, Ohio",OH,2010,48375.0,,19.1,206.27301550679627,6.4,37.8
39171,"Williams County, Ohio",OH,2010,44538.0,,12.9,90.74311795749536,10.7,39.7
39173,"Wood County, Ohio",OH,2010,53298.0,,29.3,203.01800823770742,9.6,34.6
39175,"Wyandot County, Ohio",OH,2010,47216.0,,13.4,55.70452149164739,7.4,40.6
39001,"Adams County, Ohio",OH,2010,32791.0,,10.7,48.945659322591254,11.4,39.0
39003,"Allen County, Ohio",OH,2010,43632.0,,15.8,264.7803351178129,10.1,38.1
39005,"Ashland County, Ohio",OH,2010,44542.0,,17.5,126.1055304300132,8.3,39.1
39007,"Ashtabula County, Ohio",OH,2010,42139.0,,12.9,145.09583843137477,9.4,40.6
39009,"Athens County, Ohio",OH,2010,31559.0,,27.3,127.97730142719857,11.3,25.9
39011,"Auglaize County, Ohio",OH,2010,52018.0,,15.5,114.65963108015188,6.7,39.1
39013,"Belmont County, Ohio",OH,2010,38320.0,,14.1,132.30488210521173,6.7,43.1
39015,"Brown County, Ohio",OH,2010,45887.0,,9.8,91.14214685941786,9.7,39.1
39017,"Butler County, Ohio",OH,2010,54788.0,,25.9,779.0917509067058,8.0,35.7
39019,"Carroll County, Ohio",OH,2010,43148.0,,12.0,73.45949945769514,6.9,42.2
39021,"Champaign County, Ohio",OH,2010,49246.0,,15.3,93.56883276727376,7.9,38.8
39023,"Clark County, Ohio",OH,2010,44141.0,,16.2,351.17681296724174,9.3,40.2
39025,"Clermont County, Ohio",OH,2010,58472.0,,24.8,431.57150433091743,6.9,37.8
39027,"Clinton County, Ohio",OH,2010,46261.0,,14.7,103.77485436631918,10.5,37.7
39029,"Columbiana County, Ohio",OH,2010,39502.0,,12.4,204.18411143091873,9.8,41.6
39031,"Coshocton County, Ohio",OH,2010,39469.0,,11.6,65.68579473322127,10.6,40.6
39033,"Crawford County, Ohio",OH,2010,41228.0,,10.5,110.24276604958858,10.3,41.3
39035,"Cuyahoga County, Ohio",OH,2010,43603.0,,28.2,2829.820367401484,10.5,39.7
39037,"Darke County, Ohio",OH,2010,44280.0,,11.3,88.52169028025321,8.9,40.0
39039,"Defiance County, Ohio",OH,2010,44480.0,,16.3,95.07595090533479,9.4,38.6
39041,"Delaware County, Ohio",OH,2010,87908.0,,49.5,374.83724362344776,4.2,36.5
39043,"Erie County, Ohio",OH,2010,46593.0,,20.1,308.22800929610645,8.0,42.5
39045,"Fairfield County, Ohio",OH,2010,56796.0,,24.4,285.4064021095833,6.9,37.4
39047,"Fayette County, Ohio",OH,2010,39599.0,,13.1,71.15102089029213,10.3,38.8
39049,"Franklin County, Ohio",OH,2010,49087.0,,35.0,2143.276792439009,8.0,33.4
39051,"Fulton County, Ohio",OH,2010,50717.0,,14.9,105.45398042160875,9.9,38.9
39053,"Gallia County, Ohio",OH,2010,37409.0,,14.3,66.32585257111012,9.0,39.4
39055,"Geauga County, Ohio",OH,2010,65663.0,,34.0,233.83403988498657,6.0,42.1
39057,"Greene County, Ohio",OH,2010,56679.0,,34.5,386.74046508478835,6.6,36.6
39059,"Guernsey County, Ohio",OH,2010,37573.0,,11.2,77.26317079428783,8.2,40.0
39061,"Hamilton County, Ohio",OH,2010,48234.0,,32.5,1978.73741696616,7.8,36.9
39063,"Hancock County, Ohio",OH,2010,49070.0,,24.4,140.53545381828445,6.3,37.7
39065,"Hardin County, Ohio",OH,2010,41343.0,,15.1,68.26498825180475,8.4,34.4
39067,"Harrison County, Ohio",OH,2010,35363.0,,9.0,39.43767693764587,7.0,43.5
39069,"Henry County, Ohio",OH,2010,48367.0,,13.1,68.61854282348982,9.1,38.8
39071,"Highland County, Ohio",OH,2010,39844.0,,9.7,78.9174881211534,12.1,38.3
39073,"Hocking County, Ohio",OH,2010,39586.0,,10.2,69.62874007058282,8.4,40.0
39075,"Holmes County, Ohio",OH,2010,43533.0,,9.4,99.5428430806508,5.7,29.3
39077,"Huron County, Ohio",OH,2010,47058.0,,12.1,121.75287408861071,9.1,37.3
39079,"Jackson County, Ohio",OH,2010,34044.0,,12.0,78.90604553781732,11.9,39.0
39081,"Jefferson County, Ohio",OH,2010,37527.0,,14.1,171.61695955150884,8.3,43.8
39083,"Knox County, Ohio",OH,2010,45655.0,,19.0,114.55968517542374,7.2,38.0
39085,"Lake County, Ohio",OH,2010,54896.0,,24.2,1000.6455271077768,6.4,41.9
39087,"Lawrence County, Ohio",OH,2010,36461.0,,12.9,138.17372566404865,7.1,39.9
39089,"Licking County, Ohio",OH,2010,53291.0,,22.1,239.89086012130235,7.7,38.6
39091,"Logan County, Ohio",OH,2010,46493.0,,14.3,100.338926862462,8.7,38.9
39093,"Lorain County, Ohio",OH,2010,52066.0,,20.6,610.7706671885447,9.2,39.5
39095,"Lucas County, Ohio",OH,2010,42072.0,,23.0,1307.3134253657302,12.1,36.6
39097,"Madison County, Ohio",OH,2010,50533.0,,15.6,91.9766258635421,6.1,38.7
39099,"Mahoning County, Ohio",OH,2010,40123.0,,20.4,587.8640446379967,10.4,42.4
39101,"Marion County, Ohio",OH,2010,40511.0,,12.0,164.75733396730115,7.9,39.3
39103,"Medina County, Ohio",OH,2010,66193.0,,29.5,403.6867256049238,5.9,39.8
39105,"Meigs County, Ohio",OH,2010,33407.0,,10.3,54.98463155251545,14.1,41.2
39107,"Mercer County, Ohio",OH,2010,49719.0,,15.4,88.56798725043086,6.2,38.5
39109,"Miami County, Ohio",OH,2010,51507.0,,20.0,251.6844148272783,6.2,40.1
39111,"Monroe County, Ohio",OH,2010,37030.0,,9.2,32.36834656139804,7.1,44.4
39113,"Montgomery County, Ohio",OH,2010,43965.0,,24.3,1167.1395531818507,9.8,38.7
39115,"Morgan County, Ohio",OH,2010,34962.0,,8.7,36.292162352975076,7.7,42.0
39117,"Morrow County, Ohio",OH,2010,49891.0,,13.6,85.72293873450634,5.9,39.1
39119,"Muskingum County, Ohio",OH,2010,39538.0,,14.2,129.33792393604054,10.8,39.2
39121,"Noble County, Ohio",OH,2010,39500.0,,9.1,36.76773564616142,8.6,46.2
39123,"Ottawa County, Ohio",OH,2010,53463.0,,18.9,163.14231421571705,7.1,45.3
39125,"Paulding County, Ohio",OH,2010,46459.0,,10.7,47.25587426609194,8.7,40.1
39127,"Perry County, Ohio",OH,2010,42388.0,,8.9,87.86470360401437,10.9,37.7
39129,"Pickaway County, Ohio",OH,2010,49262.0,,13.5,109.98587469175705,7.6,37.8
39131,"Pike County, Ohio",OH,2010,35912.0,,12.6,65.12644168964437,17.8,38.3
39133,"Portage County, Ohio",OH,2010,50447.0,,24.9,328.15215272719814,9.2,36.9
39135,"Preble County, Ohio",OH,2010,49780.0,,12.0,100.18716438879277,7.8,40.3
39137,"Putnam County, Ohio",OH,2010,56573.0,,18.1,71.80070625683875,5.0,38.0
39139,"Richland County, Ohio",OH,2010,42664.0,,14.9,254.38839158608073,8.9,40.1
39141,"Ross County, Ohio",OH,2010,42626.0,,13.1,112.5084522451775,11.4,39.0
51001,"Accomack County, Virginia",VA,2010,41372.0,,18.0,75.8172960293067,9.2,43.9
51003,"Albemarle County, Virginia",VA,2010,64847.0,,51.6,134.1245738904496,4.2,37.6
51005,"Alleghany County, Virginia",VA,2010,43160.0,,14.9,36.73763693200649,6.2,44.7
51007,"Amelia County, Virginia",VA,2010,50135.0,,13.1,35.22343538946421,7.0,41.5
51009,"Amherst County, Virginia",VA,2010,44757.0,,15.6,68.18057143821656,5.7,41.1
51011,"Appomattox County, Virginia",VA,2010,49224.0,,11.8,43.84185456460338,7.7,43.3
51013,"Arlington County, Virginia",VA,2010,94880.0,,70.1,7595.761049351849,3.2,33.9
51015,"Augusta County, Virginia",VA,2010,50612.0,,19.1,75.69327683300348,4.6,42.3
51017,"Bath County, Virginia",VA,2010,50589.0,,11.5,9.030578115728966,2.7,47.0
51019,"Bedford County, Virginia",VA,2010,54110.0,,24.2,89.06281245724269,5.0,43.2
51021,"Bland County, Virginia",VA,2010,41552.0,,12.0,19.217057969920397,5.6,44.6
51023,"Botetourt County, Virginia",VA,2010,64724.0,,22.9,60.72133255492577,3.8,43.6
51025,"Brunswick County, Virginia",VA,2010,35184.0,,11.9,31.27152378698559,8.4,40.0
51027,"Buchanan County, Virginia",VA,2010,29183.0,,8.9,48.640360820436946,12.8,42.6
51029,"Buckingham County, Virginia",VA,2010,34720.0,,12.4,29.112026265348337,6.0,43.4
51031,"Campbell County, Virginia",VA,2010,43478.0,,16.3,107.65748489190334,5.9,40.4
51033,"Caroline County, Virginia",VA,2010,57690.0,,15.5,52.798546731568194,8.5,38.7
51035,"Carroll County, Virginia",VA,2010,36142.0,,11.7,63.16035589707295,8.4,44.7
51036,"Charles City County, Virginia",VA,2010,46337.0,,10.9,39.39289561019349,8.4,45.6
51037,"Charlotte County, Virginia",VA,2010,34881.0,,15.1,26.60236989160439,10.5,42.8
51041,"Chesterfield County, Virginia",VA,2010,71321.0,,35.7,728.75708962801,5.5,36.9
51043,"Clarke County, Virginia",VA,2010,73244.0,,29.2,79.64963935134398,4.2,43.8
51045,"Craig County, Virginia",VA,2010,51291.0,,13.6,15.76663070180251,1.9,43.2
51047,"Culpeper County, Virginia",VA,2010,65132.0,,21.6,120.65023326221626,5.6,37.1
51049,"Cumberland County, Virginia",VA,2010,40143.0,,12.5,33.12894572298756,7.6,40.7
51051,"Dickenson County, Virginia",VA,2010,29080.0,,8.6,48.3157866067889,9.4,43.2
51053,"Dinwiddie County, Virginia",VA,2010,51459.0,,13.1,54.474623228269884,7.5,40.1
51057,"Essex County, Virginia",VA,2010,46235.0,,16.6,42.36112460411526,4.9,44.0
51059,"Fairfax County, Virginia",VA,2010,105416.0,,58.0,2681.579761700778,4.3,37.3
51061,"Fauquier County, Virginia",VA,2010,83877.0,,30.8,99.6089469964228,4.7,40.4
51063,"Floyd County, Virginia",VA,2010,42044.0,,19.3,39.45679310516824,6.6,43.6
51065,"Fluvanna County, Virginia",VA,2010,68223.0,,25.8,88.14525089075185,4.7,41.1
51067,"Franklin County, Virginia",VA,2010,45555.0,,15.2,79.5499630761211,7.5,43.3
51069,"Frederick County, Virginia",VA,2010,61973.0,,23.1,183.55985331671246,5.2,38.7
51071,"Giles County, Virginia",VA,2010,41186.0,,16.1,48.16305735336932,6.4,42.4
51073,"Gloucester County, Virginia",VA,2010,59331.0,,19.2,168.08227354115974,4.1,41.9
51075,"Goochland County, Virginia",VA,2010,79574.0,,30.7,74.94264774189888,4.6,44.1
51077,"Grayson County, Virginia",VA,2010,32178.0,,10.3,35.888497798702986,5.8,46.0
51079,"Greene County, Virginia",VA,2010,54307.0,,20.0,115.94964956042757,4.3,38.7
51081,"Greensville County, Virginia",VA,2010,38574.0,,5.5,41.25977637546702,10.0,40.0
51083,"Halifax County, Virginia",VA,2010,34705.0,,13.2,44.40457803360763,9.2,43.9
51085,"Hanover County, Virginia",VA,2010,76425.0,,33.0,212.0754620145159,3.8,40.4
51087,"Henrico County, Virginia",VA,2010,60114.0,,38.9,1284.0611961057023,6.6,37.1
51089,"Henry County, Virginia",VA,2010,34086.0,,10.9,143.4807284406213,11.0,43.6
51091,"Highland County, Virginia",VA,2010,43481.0,,21.4,5.768818512246996,0.6,52.4
51093,"Isle of Wight County, Virginia",VA,2010,62242.0,,25.1,110.11609674200548,4.9,42.6
51095,"James City County, Virginia",VA,2010,73903.0,,45.0,452.47297924074826,3.9,44.3
51097,"King and Queen County, Virginia",VA,2010,44442.0,,9.9,21.976906161847253,4.9,42.5
51099,"King George County, Virginia",VA,2010,76241.0,,30.5,126.89558420736189,5.6,36.0
51101,"King William County, Virginia",VA,2010,64946.0,,19.8,56.620787850023724,5.2,39.1
51103,"Lancaster County, Virginia",VA,2010,45209.0,,27.7,86.10265104346391,5.7,53.4
51105,"Lee County, Virginia",VA,2010,31352.0,,12.0,58.41820211402506,6.7,40.7
51107,"Loudoun County, Virginia",VA,2010,115574.0,,57.2,565.506129081045,3.8,34.3
51109,"Louisa County, Virginia",VA,2010,54257.0,,17.9,65.14128961492545,5.9,42.3
