fips,county_name,state,year,median_income,poverty_rate,pct_bachelors,pop_density,unemployment_acs,median_age,wfh_rate
01001,"Autauga County, Alabama",AL,2010,53255.0,,21.7,89.41788795133702,6.2,36.2,1.9429364463855667
01001,"Autauga County, Alabama",AL,2011,53899.0,,21.6,90.74515186994496,7.5,36.4,2.46827385108218
01001,"Autauga County, Alabama",AL,2012,53773.0,11.6,21.7,91.83185971711951,8.6,37.0,2.113340719766917
01001,"Autauga County, Alabama",AL,2013,53682.0,12.1,20.9,92.36512037896833,9.4,37.5,2.1123260437375744
01001,"Autauga County, Alabama",AL,2014,52475.0,12.8,21.9,92.75034653531968,8.5,37.9,1.585014409221902
01001,"Autauga County, Alabama",AL,2015,51281.0,12.9,23.2,92.89333440994791,7.6,37.7,1.8449419568822554
01001,"Autauga County, Alabama",AL,2016,53099.0,12.3,24.6,92.60399424011196,5.6,37.8,2.0903629330919267
01001,"Autauga County, Alabama",AL,2017,55317.0,13.7,25.0,92.58212550634529,5.2,37.8,2.4707091469681397
01001,"Autauga County, Alabama",AL,2018,58786.0,15.4,27.7,92.8580079938633,4.2,37.8,2.763222531521205
01001,"Autauga County, Alabama",AL,2019,58731.0,15.2,26.6,93.1608058460172,3.7,38.2,3.4057235640349095
01001,"Autauga County, Alabama",AL,2020,57982.0,15.2,28.3,93.59649831106087,2.9,38.6,3.823800553128382
01001,"Autauga County, Alabama",AL,2021,62660.0,13.6,28.1,97.970245064395,2.8,38.5,4.739587270390808
01001,"Autauga County, Alabama",AL,2022,68315.0,11.4,29.6,98.84835883564132,2.8,39.0,5.338315267655655
01001,"Autauga County, Alabama",AL,2023,69841.0,10.7,28.3,99.72983702746713,2.5,39.2,5.786625148279953
01003,"Baldwin County, Alabama",AL,2010,50147.0,,26.8,110.57178224672231,6.6,41.0,3.2338308457711444
01003,"Baldwin County, Alabama",AL,2011,51321.0,,27.2,112.91919418103502,7.7,41.4,3.2855147898946298
01003,"Baldwin County, Alabama",AL,2012,50706.0,13.3,27.7,115.24836524018829,8.5,41.2,3.2731064984671057
01003,"Baldwin County, Alabama",AL,2013,50221.0,13.9,27.7,117.69390050294496,9.2,41.5,3.4135873677420956
01003,"Baldwin County, Alabama",AL,2014,50183.0,13.8,28.6,120.26712189181777,8.6,41.8,3.284875934448584
01003,"Baldwin County, Alabama",AL,2015,50254.0,13.4,29.0,122.73026903403873,7.5,42.2,3.928808103758402
01003,"Baldwin County, Alabama",AL,2016,51365.0,13.0,29.5,125.49093114006727,6.3,42.3,5.077047850770478
01003,"Baldwin County, Alabama",AL,2017,52562.0,11.8,30.7,127.91256456640811,5.5,42.6,5.647961565171852
01003,"Baldwin County, Alabama",AL,2018,55962.0,10.6,31.3,130.89840713130158,4.4,42.8,6.13323124042879
01003,"Baldwin County, Alabama",AL,2019,58320.0,10.4,31.9,133.8691537995114,4.3,43.0,6.503043772345154
01003,"Baldwin County, Alabama",AL,2020,61756.0,9.2,31.9,137.30284129935416,3.9,43.2,6.435765927207563
01003,"Baldwin County, Alabama",AL,2021,64346.0,9.2,32.5,142.86442123590106,3.7,43.4,7.806137359961032
01003,"Baldwin County, Alabama",AL,2022,71039.0,10.2,32.6,146.8201751627212,3.4,43.7,9.100269210787323
01003,"Baldwin County, Alabama",AL,2023,75019.0,10.5,32.8,150.92437207359754,3.2,43.7,9.964800768655131
01031,"Coffee County, Alabama",AL,2010,42253.0,,22.1,71.20765376605704,7.5,37.9,2.352137419480773
01031,"Coffee County, Alabama",AL,2011,42065.0,,21.3,72.49192177747406,7.3,37.7,2.3959341723136496
01031,"Coffee County, Alabama",AL,2012,44626.0,17.1,22.6,73.58914616796223,7.6,37.8,2.7773759583393605
