fips,county,state,role,dc_opening_year,primary_operator,all_operators,analysis_diD,classifier_dc,cohort_flags
01001,Autauga County,AL,control,,,,1,0,
01003,Baldwin County,AL,control,,,,1,0,
01031,Coffee County,AL,control,,,,1,0,
01033,Colbert County,AL,control,,,,1,0,
01045,Dale County,AL,control,,,,1,0,
01097,Mobile County,AL,control,,,,1,0,MINOR_COLO
01101,Montgomery County,AL,control,,,,1,0,FUTURE_DC_2023plus
01117,Shelby County,AL,control,,,,1,0,FUTURE_DC_2023plus
04015,Mohave County,AZ,control,,,,1,0,CROSS_STATE_FILL
04019,Pima County,AZ,control,,,,1,0,FUTURE_DC_2023plus
04021,Pinal County,AZ,control,,,,1,0,FUTURE_DC_2023plus
04025,Yavapai County,AZ,control,,,,1,0,
04027,Yuma County,AZ,control,,,,1,0,
06013,Contra Costa County,CA,control,,,,1,0,FUTURE_DC_2023plus
06019,Fresno County,CA,control,,,,1,0,MINOR_COLO
13015,Bartow County,GA,control,,,,1,0,FUTURE_DC_2023plus
13113,Fayette County,GA,control,,,,1,0,FUTURE_DC_2023plus
13115,Floyd County,GA,control,,,,1,0,BACKFILL
13185,Lowndes County,GA,control,,,,1,0,
19013,Black Hawk County,IA,control,,,,1,0,MINOR_COLO
19103,Johnson County,IA,control,,,,1,0,
19113,Linn County,IA,control,,,,1,0,FUTURE_DC_2023plus
19163,Scott County,IA,control,,,,1,0,FUTURE_DC_2023plus
17097,Lake County,IL,control,,,,1,0,BACKFILL
17115,Macon County,IL,control,,,,1,0,
18039,Elkhart County,IN,control,,,,1,0,FUTURE_DC_2023plus
18057,Hamilton County,IN,control,,,,1,0,FUTURE_DC_2023plus
29077,Greene County,MO,control,,,,1,0,MINOR_COLO
29099,Jefferson County,MO,control,,,,1,0,FUTURE_DC_2023plus
37001,Alamance County,NC,control,,,,1,0,
37031,Carteret County,NC,control,,,,1,0,
37057,Davidson County,NC,control,,,,1,0,
37069,Franklin County,NC,control,,,,1,0,
37135,Orange County,NC,control,,,,1,0,
37151,Randolph County,NC,control,,,,1,0,
37163,Sampson County,NC,control,,,,1,0,
37193,Wilkes County,NC,control,,,,1,0,
31053,Dodge County,NE,control,,,,1,0,
31079,Hall County,NE,control,,,,1,0,MINOR_COLO
31109,Lancaster County,NE,control,,,,1,0,FUTURE_DC_2023plus
31157,Scotts Bluff County,NE,control,,,,1,0,BACKFILL
35001,Bernalillo County,NM,control,,,,1,0,MINOR_COLO;CROSS_STATE_FILL
35005,Chaves County,NM,control,,,,1,0,FUTURE_DC_2023plus
35013,Doña Ana County,NM,control,,,,1,0,FUTURE_DC_2023plus;CROSS_STATE_FILL
35025,Lea County,NM,control,,,,1,0,FUTURE_DC_2023plus
35031,McKinley County,NM,control,,,,1,0,
35035,Otero County,NM,control,,,,1,0,
35049,Santa Fe County,NM,control,,,,1,0,CROSS_STATE_FILL
32005,Douglas County,NV,control,,,,1,0,
32007,Elko County,NV,control,,,,1,0,MINOR_COLO
32019,Lyon County,NV,control,,,,1,0,FUTURE_DC_2023plus
32023,Nye County,NV,control,,,,1,0,
32510,Carson City,NV,control,,,,1,0,MINOR_COLO
39045,Fairfield County,OH,control,,,,1,0,FUTURE_DC_2023plus
39057,Greene County,OH,control,,,,1,0,FUTURE_DC_2023plus
39061,Hamilton County,OH,control,,,,1,0,MINOR_COLO
39077,Huron County,OH,control,,,,1,0,
39095,Lucas County,OH,control,,,,1,0,MINOR_COLO
39103,Medina County,OH,control,,,,1,0,FUTURE_DC_2023plus
39113,Montgomery County,OH,control,,,,1,0,MINOR_COLO
39129,Pickaway County,OH,control,,,,1,0,FUTURE_DC_2023plus
39133,Portage County,OH,control,,,,1,0,
39143,Sandusky County,OH,control,,,,1,0,
39147,Seneca County,OH,control,,,,1,0,
39153,Summit County,OH,control,,,,1,0,MINOR_COLO
40041,Delaware County,OK,control,,,,1,0,
40087,McClain County,OK,control,,,,1,0,
40111,Okmulgee County,OK,control,,,,1,0,
40135,Sequoyah County,OK,control,,,,1,0,
41003,Benton County,OR,control,,,,1,0,MINOR_COLO
41007,Clatsop County,OR,control,,,,1,0,MINOR_COLO
41009,Columbia County,OR,control,,,,1,0,
41011,Coos County,OR,control,,,,1,0,
41033,Josephine County,OR,control,,,,1,0,
41035,Klamath County,OR,control,,,,1,0,MINOR_COLO
41041,Lincoln County,OR,control,,,,1,0,
41045,Malheur County,OR,control,,,,1,0,
41053,Polk County,OR,control,,,,1,0,
41057,Tillamook County,OR,control,,,,1,0,
41061,Union County,OR,control,,,,1,0,
41071,Yamhill County,OR,control,,,,1,0,
45007,Anderson County,SC,control,,,,1,0,MINOR_COLO
45013,Beaufort County,SC,control,,,,1,0,
47009,Blount County,TN,control,,,,1,0,
47163,Sullivan County,TN,control,,,,1,0,MINOR_COLO
47187,Williamson County,TN,control,,,,1,0,MINOR_COLO
47189,Wilson County,TN,control,,,,1,0,
48135,Ector County,TX,control,,,,1,0,FUTURE_DC_2023plus
48141,El Paso County,TX,control,,,,1,0,FUTURE_DC_2023plus
48157,Fort Bend County,TX,control,,,,1,0,BACKFILL
48187,Guadalupe County,TX,control,,,,1,0,FUTURE_DC_2023plus
48215,Hidalgo County,TX,control,,,,1,0,MINOR_COLO
48251,Johnson County,TX,control,,,,1,0,
48329,Midland County,TX,control,,,,1,0,MINOR_COLO
48339,Montgomery County,TX,control,,,,1,0,MINOR_COLO;BACKFILL
49003,Box Elder County,UT,control,,,,1,0,FUTURE_DC_2023plus
49005,Cache County,UT,control,,,,1,0,
49011,Davis County,UT,control,,,,1,0,MINOR_COLO;CROSS_STATE_FILL
49021,Iron County,UT,control,,,,1,0,BACKFILL
49045,Tooele County,UT,control,,,,1,0,
49053,Washington County,UT,control,,,,1,0,MINOR_COLO;CROSS_STATE_FILL
49057,Weber County,UT,control,,,,1,0,MINOR_COLO;CROSS_STATE_FILL
51013,Arlington County,VA,control,,,,1,0,
51015,Augusta County,VA,control,,,,1,0,
51019,Bedford County,VA,control,,,,1,0,
51033,Caroline County,VA,control,,,,1,0,FUTURE_DC_2023plus
51035,Carroll County,VA,control,,,,1,0,
51041,Chesterfield County,VA,control,,,,1,0,FUTURE_DC_2023plus
51095,James City County,VA,control,,,,1,0,
51173,Smyth County,VA,control,,,,1,0,
51510,Alexandria city,VA,control,,,,1,0,BACKFILL
51550,Chesapeake city,VA,control,,,,1,0,
51680,Lynchburg city,VA,control,,,,1,0,MINOR_COLO
51700,Newport News city,VA,control,,,,1,0,MINOR_COLO
51710,Norfolk city,VA,control,,,,1,0,MINOR_COLO
51730,Petersburg city,VA,control,,,,1,0,FUTURE_DC_2023plus
51760,Richmond city,VA,control,,,,1,0,
51810,Virginia Beach city,VA,control,,,,1,0,MINOR_COLO
53015,Cowlitz County,WA,control,,,,1,0,MINOR_COLO
53021,Franklin County,WA,control,,,,1,0,MINOR_COLO
56005,Campbell County,WY,control,,,,1,0,
56013,Fremont County,WY,control,,,,1,0,
56025,Natrona County,WY,control,,,,1,0,FUTURE_DC_2023plus
56037,Sweetwater County,WY,control,,,,1,0,
01071,Jackson County,AL,treated,2021,Google,Google,1,1,
01089,Madison County,AL,treated,2021,Meta,Meta,1,1,
04013,Maricopa County,AZ,treated,2016,Oracle,Oracle;Apple;Microsoft;Meta,1,1,PRE_COVID_COHORT;MULTIPLE_OPERATORS;HUGE_METRO
06001,Alameda County,CA,treated,2006,Apple,Apple,0,1,ALWAYS_TREATED;HUGE_METRO
06085,Santa Clara County,CA,treated,2009,AWS,AWS;Oracle,0,1,ALWAYS_TREATED;MULTIPLE_OPERATORS;HUGE_METRO
13097,Douglas County,GA,treated,2003,Google,Google,0,1,ALWAYS_TREATED
13217,Newton County,GA,treated,2021,Meta,Meta,1,1,
