fips,year,covid_deaths_per_100k,covid_cases_per_100k
01001,2010,0.0,0.0
01001,2011,0.0,0.0
01001,2012,0.0,0.0
01001,2013,0.0,0.0
01001,2014,0.0,0.0
01001,2015,0.0,0.0
01001,2016,0.0,0.0
01001,2017,0.0,0.0
01001,2018,0.0,0.0
01001,2019,0.0,0.0
01001,2020,86.674,7565.908
01001,2021,202.239,12329.361
01001,2022,126.399,14342.723
01001,2023,9.029,1536.656
01001,2024,0.0,0.0
01003,2010,0.0,0.0
01003,2011,0.0,0.0
01003,2012,0.0,0.0
01003,2013,0.0,0.0
01003,2014,0.0,0.0
01003,2015,0.0,0.0
01003,2016,0.0,0.0
01003,2017,0.0,0.0
01003,2018,0.0,0.0
01003,2019,0.0,0.0
01003,2020,75.647,6390.546
01003,2021,202.979,12361.979
01003,2022,59.202,12961.049
01003,2023,5.168,1195.32
01003,2024,0.0,0.0
01031,2010,0.0,0.0
01031,2011,0.0,0.0
01031,2012,0.0,0.0
01031,2013,0.0,0.0
01031,2014,0.0,0.0
01031,2015,0.0,0.0
01031,2016,0.0,0.0
01031,2017,0.0,0.0
01031,2018,0.0,0.0
01031,2019,0.0,0.0
01031,2020,73.555,6956.757
01031,2021,303.898,11977.856
01031,2022,92.912,12670.822
01031,2023,11.614,1718.865
01031,2024,0.0,0.0
01033,2010,0.0,0.0
01033,2011,0.0,0.0
01033,2012,0.0,0.0
01033,2013,0.0,0.0
01033,2014,0.0,0.0
01033,2015,0.0,0.0
01033,2016,0.0,0.0
01033,2017,0.0,0.0
01033,2018,0.0,0.0
01033,2019,0.0,0.0
01033,2020,109.547,8508.152
01033,2021,281.171,9424.696
01033,2022,111.373,18884.081
01033,2023,7.303,2185.463
01033,2024,0.0,0.0
01045,2010,0.0,0.0
01045,2011,0.0,0.0
01045,2012,0.0,0.0
01045,2013,0.0,0.0
01045,2014,0.0,0.0
01045,2015,0.0,0.0
01045,2016,0.0,0.0
01045,2017,0.0,0.0
01045,2018,0.0,0.0
01045,2019,0.0,0.0
01045,2020,127.849,6747.57
01045,2021,265.844,12314.061
01045,2022,103.497,12979.686
01045,2023,0.0,1558.536
01045,2024,0.0,0.0
01071,2010,0.0,0.0
01071,2011,0.0,0.0
01071,2012,0.0,0.0
01071,2013,0.0,0.0
01071,2014,0.0,0.0
01071,2015,0.0,0.0
01071,2016,0.0,0.0
01071,2017,0.0,0.0
01071,2018,0.0,0.0
01071,2019,0.0,0.0
01071,2020,65.571,9829.9
01071,2021,322.071,10684.255
01071,2022,144.642,13283.962
01071,2023,11.571,1724.138
01071,2024,0.0,0.0
01089,2010,0.0,0.0
01089,2011,0.0,0.0
