fips,county_name,state,year,elec_rate_cents_kwh,res_sales_mwh,res_customers
31001,Adams County,NE,2010,8.472395591959968,,
31001,Adams County,NE,2011,8.67991347871411,,
31001,Adams County,NE,2012,9.256286380101399,,
31001,Adams County,NE,2013,9.277477772259733,,
31001,Adams County,NE,2014,9.423883172193579,,
31001,Adams County,NE,2015,9.6690548315745,,
31001,Adams County,NE,2016,10.022750753514542,,
31001,Adams County,NE,2017,10.324227881486157,,
31001,Adams County,NE,2018,9.789652693019253,,
31001,Adams County,NE,2019,9.727979484494055,,
31001,Adams County,NE,2020,9.819777707336037,,
31001,Adams County,NE,2021,9.699863765795728,,
31001,Adams County,NE,2022,9.633308435389763,,
31003,Antelope County,NE,2010,9.017260034491674,,
31003,Antelope County,NE,2011,9.576428864406228,,
31003,Antelope County,NE,2012,10.520130069049424,,
31003,Antelope County,NE,2013,10.329143414163541,,
31003,Antelope County,NE,2014,11.996752221795562,,
31003,Antelope County,NE,2015,10.671884295573877,,
31003,Antelope County,NE,2016,10.756218052435115,,
31003,Antelope County,NE,2017,10.713547183272475,,
31003,Antelope County,NE,2018,10.394280160746309,,
31003,Antelope County,NE,2019,10.440357315085484,,
31003,Antelope County,NE,2020,10.311236748721646,,
31003,Antelope County,NE,2021,10.357006360071416,,
31003,Antelope County,NE,2022,10.20759821548813,,
31005,Arthur County,NE,2010,12.180058714425085,,
31005,Arthur County,NE,2011,12.004485704866141,,
31005,Arthur County,NE,2012,12.783054627649832,,
31005,Arthur County,NE,2013,12.563963640784813,,
31005,Arthur County,NE,2014,12.542744908092384,,
31005,Arthur County,NE,2015,12.714797721285354,,
31005,Arthur County,NE,2016,13.102467898200219,,
31005,Arthur County,NE,2017,13.834098005748574,,
31005,Arthur County,NE,2018,13.86257165319045,,
31005,Arthur County,NE,2019,14.066007602929567,,
31005,Arthur County,NE,2020,,,
31005,Arthur County,NE,2021,,,
31005,Arthur County,NE,2022,,,
31007,Banner County,NE,2010,11.773682376662617,,
31007,Banner County,NE,2011,11.71985353843672,,
31007,Banner County,NE,2012,12.340827022235857,,
31007,Banner County,NE,2013,12.277713805368162,,
31007,Banner County,NE,2014,12.671167603293375,,
31007,Banner County,NE,2015,13.228778492051985,,
31007,Banner County,NE,2016,13.22516489959226,,
31007,Banner County,NE,2017,13.756259488040511,,
31007,Banner County,NE,2018,13.771124726256566,,
31007,Banner County,NE,2019,13.809992370793287,,
31007,Banner County,NE,2020,14.696327294752491,,
31007,Banner County,NE,2021,14.661879114302813,,
31007,Banner County,NE,2022,14.254132542832739,,
31009,Blaine County,NE,2010,9.589351685138505,,
31009,Blaine County,NE,2011,10.098737326944967,,
31009,Blaine County,NE,2012,10.765194455356642,,
31009,Blaine County,NE,2013,10.845941870742994,,
31009,Blaine County,NE,2014,10.932505251621153,,
31009,Blaine County,NE,2015,11.485684309340401,,
31009,Blaine County,NE,2016,11.819199977877023,,
31009,Blaine County,NE,2017,12.06880231504645,,
31009,Blaine County,NE,2018,12.289905000521975,,
31009,Blaine County,NE,2019,12.329886742517612,,
31009,Blaine County,NE,2020,,,
31009,Blaine County,NE,2021,,,
31009,Blaine County,NE,2022,,,
31011,Boone County,NE,2010,7.848498499825292,,
31011,Boone County,NE,2011,8.504911504209494,,
31011,Boone County,NE,2012,9.429545115085807,,
31011,Boone County,NE,2013,9.677990998274748,,
31011,Boone County,NE,2014,9.799052959344126,,
31011,Boone County,NE,2015,10.183673301978905,,
31011,Boone County,NE,2016,10.233845234082343,,
31011,Boone County,NE,2017,10.21184716691793,,
31011,Boone County,NE,2018,9.997058598559791,,
31011,Boone County,NE,2019,9.995155042138544,,
31011,Boone County,NE,2020,9.989382843058461,,
31011,Boone County,NE,2021,10.03897367513435,,
