fips,county,state,operator,dc_opening_year,all_operators,multiple_operators,opening_year_confidence,source_url,notes
13097,Douglas County,GA,Google,2003,Google,0,low,https://baxtel.com/data-center/google-douglas-county-georgia,PRE_2010_no_clean_pretrend || Google Douglas County Data Center (Lithia Springs)
06001,Alameda County,CA,Apple,2006,Apple,0,high,https://dgtlinfra.com/apple-data-center-locations/,PRE_2010_no_clean_pretrend | HUGE_METRO || Apple Newark Data Center
41065,Wasco County,OR,Google,2006,Google,0,high,https://datacenters.google/locations/the-dalles-oregon/,PRE_2010_no_clean_pretrend || Google The Dalles Data Center
51059,Fairfax County,VA,AWS,2006,AWS,0,high,https://baxtel.com/data-center/amazon-iad1,"PRE_2010_no_clean_pretrend | COUNTY_BORDER_AMBIGUITY || AWS US East (N. Virginia) - Chantilly/Westfax Dr cluster (Fairfax County, ZIP 20151). CORRECTED YEAR: was 2011(low). AWS IAD1 (""VDC"", 4101A Westfax Dr) operational 2006 (same year us-east-1 launched); IAD9 2009 — both pre-2010. Fairfax County = 51059 (distinct from 51600 Fairfax city, 51061 Fauquier). Always-treated: classifier-positive, excluded from DiD."
51107,Loudoun County,VA,AWS,2006,AWS;Oracle;Google,1,high,https://www.datacenterdynamics.com/en/analysis/the-amazon-factor-in-virginia/,"PRE_2010_no_clean_pretrend | MULTIPLE_OPERATORS(AWS;Oracle;Google) | HUGE_METRO || per-operator opening years: AWS:2006, Oracle:2017, Google:2019 || AWS US East (N. Virginia) Data Centers - Ashburn/Sterling (us-east-1)"
53025,Grant County,WA,Microsoft,2007,Microsoft,0,high,https://en.wikipedia.org/wiki/Columbia_Data_Center,PRE_2010_no_clean_pretrend || Microsoft Columbia Data Center (Quincy)
37027,Caldwell County,NC,Google,2008,Google,0,medium,https://www.datacenterknowledge.com/archives/2009/02/09/a-glimpse-inside-googles-lenoir-data-center,PRE_2010_no_clean_pretrend || Google Lenoir Data Center
45015,Berkeley County,SC,Google,2008,Google,0,medium,https://baxtel.com/data-center/google-berkeley-county-south-carolina,PRE_2010_no_clean_pretrend || Google Berkeley County Data Center (Moncks Corner)
48029,Bexar County,TX,Microsoft,2008,Microsoft,0,high,https://sanantonioreport.org/microsoft-data-centers-san-antonio-region/,PRE_2010_no_clean_pretrend | HUGE_METRO || Microsoft San Antonio Data Center (Westover Hills)
06085,Santa Clara County,CA,AWS,2009,AWS;Oracle,1,medium,https://www.lastweekinaws.com/blog/us-west-1-the-flagship-aws-region-that-isnt/,"PRE_2010_no_clean_pretrend | MULTIPLE_OPERATORS(AWS;Oracle) | HUGE_METRO || per-operator opening years: AWS:2009, Oracle:2020 || AWS US West (N. California) Data Centers - Santa Clara (us-west-1)"
19155,Pottawattamie County,IA,Google,2009,Google,0,high,https://www.datacenterfrontier.com/hyperscale/article/55093750/google-continues-to-invest-in-iowa-with-another-1-billion-planned-for-its-council-bluffs-campus,PRE_2010_no_clean_pretrend || Google Council Bluffs Data Center
17031,Cook County,IL,Microsoft,2009,Microsoft;Oracle,1,high,https://www.datacenterknowledge.com/archives/2009/09/30/microsoft-unveils-its-container-powered-cloud,"PRE_2010_no_clean_pretrend | MULTIPLE_OPERATORS(Microsoft;Oracle) | HUGE_METRO || per-operator opening years: Microsoft:2009, Oracle:2022 || Microsoft Chicago Data Center (Northlake)"
51153,Prince William County,VA,AWS,2009,AWS,0,low,https://wikileaks.org/amazon-atlas/document/AmazonAtlas_v1/AmazonAtlas_v1.pdf,"PRE_2010_no_clean_pretrend || AWS US East (N. Virginia) Data Centers - Manassas (Mason King Ct, PW County proper; ZIP 20109). CORRECTED FIPS: was erroneously 51165 (Rockingham County, which has no DC); Prince William County = 51153. AWS operational by us-east-1 era; 7505 Mason King leased 100% to an unnamed IT enterprise from Jan 2009 (plausibly AWS). Coded pre-2010 always-treated: no clean pre-trend, classifier-positive, excluded from DiD. (2009 vs 2011 onset genuinely ambiguous; sensitivity check optional.)"
37035,Catawba County,NC,Apple,2010,Apple,0,high,https://dgtlinfra.com/apple-data-center-locations/,PRE_COVID_COHORT || Apple Maiden Data Center (iDataCenter)
40097,Mayes County,OK,Google,2011,Google,0,high,https://baxtel.com/data-center/google-mayes-county-oklahoma,PRE_COVID_COHORT || Google Mayes County Data Center (Pryor)
41013,Crook County,OR,Meta,2011,Meta;Apple,1,high,https://www.facebook.com/zuck/posts/back-in-2011-we-opened-our-first-data-center-in-prineville-oregon-today-we-annou/10105254717560681/,"PRE_COVID_COHORT | MULTIPLE_OPERATORS(Meta;Apple) || per-operator opening years: Meta:2011, Apple:2012 || Meta Prineville Data Center"
41049,Morrow County,OR,AWS,2011,AWS,0,high,https://aws.amazon.com/about-aws/whats-new/2011/11/08/Announcing-new-us-west-oregon-region/,PRE_COVID_COHORT || AWS US West (Oregon) Data Centers - Boardman / Port of Morrow (us-west-2)
19153,Polk County,IA,Microsoft,2012,Microsoft;Meta,1,high,https://www.datacenterdynamics.com/en/news/microsoft-files-for-new-data-center-campus-in-des-moines-iowa/,"PRE_COVID_COHORT | MULTIPLE_OPERATORS(Microsoft;Meta) | COUNTY_BORDER_AMBIGUITY || per-operator opening years: Microsoft:2012, Meta:2014 || Microsoft West Des Moines Data Center (Project Mountain)"
37161,Rutherford County,NC,Meta,2012,Meta,0,high,https://about.fb.com/news/2012/04/facebook-data-center-opens-in-forest-city-n-c/,PRE_COVID_COHORT || Meta Forest City Data Center
32031,Washoe County,NV,Apple,2012,Apple,0,high,https://www.nnbw.com/news/2024/aug/06/apple-to-expand-operations-at-reno-technology-park-in-washoe-county/,PRE_COVID_COHORT | COUNTY_BORDER_AMBIGUITY || Apple Reno Data Center (Reno Technology Park)
51117,Mecklenburg County,VA,Microsoft,2012,Microsoft,0,high,https://www.datacenterdynamics.com/en/news/microsoft-files-for-six-building-data-center-campus-in-virginias-mecklenburg-county/,PRE_COVID_COHORT || Microsoft Boydton Data Center (Southern Virginia)
56021,Laramie County,WY,Microsoft,2013,Microsoft,0,high,https://www.datacenterknowledge.com/cloud/microsoft-to-build-cloud-data-center-in-wyoming,PRE_COVID_COHORT || Microsoft Cheyenne Data Center
04013,Maricopa County,AZ,Oracle,2016,Oracle;Apple;Microsoft;Meta,1,high,https://www.datacenterknowledge.com/data-center-career-development/oracle-s-cloud-built-by-former-aws-microsoft-engineers-comes-online,"PRE_COVID_COHORT | MULTIPLE_OPERATORS(Oracle;Apple;Microsoft;Meta) | HUGE_METRO || per-operator opening years: Oracle:2016, Apple:2017, Microsoft:2021, Meta:2025 || Oracle Cloud Infrastructure US West (Phoenix) region (us-phoenix-1)"
39049,Franklin County,OH,AWS,2016,AWS,0,high,https://aws.amazon.com/about-aws/whats-new/2016/10/announcing-the-aws-us-east-ohio-region/,PRE_COVID_COHORT | HUGE_METRO | COUNTY_BORDER_AMBIGUITY || AWS US East (Ohio) Data Centers - Hilliard (us-east-2)
39089,Licking County,OH,AWS,2016,AWS;Meta;Google,1,high,https://www.econdev.dublinohiousa.gov/amazons-central-ohio-data-center-network-goes-live/,"ORIGINAL_COHORT | PRE_COVID_COHORT | MULTIPLE_OPERATORS(AWS;Meta;Google) | COUNTY_BORDER_AMBIGUITY || per-operator opening years: AWS:2016, Meta:2020, Google:2021 || AWS US East (Ohio) Data Centers - New Albany"
41059,Umatilla County,OR,AWS,2017,AWS,0,medium,https://www.opb.org/article/2025/09/10/hermiston-oregon-data-center-amazon-eastern-ai-technology-power/,PRE_COVID_COHORT || AWS US West (Oregon) Data Centers - Hermiston / Umatilla
48439,Tarrant County,TX,Meta,2017,Meta,0,high,https://dallasinnovates.com/innovative-spaces-a-photo-tour-of-facebooks-fort-worth-data-center/,PRE_COVID_COHORT | HUGE_METRO || Meta Fort Worth Data Center
31153,Sarpy County,NE,Meta,2019,Meta;Google,1,high,https://www.wowt.com/content/news/Facebook-formally-launches-Papillion-data-center-and-unveils-STEM-initiative-511246211.html,"ORIGINAL_COHORT | MULTIPLE_OPERATORS(Meta;Google) || per-operator opening years: Meta:2019, Google:2021 || Meta Sarpy (Papillion) Data Center"
35061,Valencia County,NM,Meta,2019,Meta,0,high,https://engineering.fb.com/2019/02/07/data-center-engineering/los-lunas-data-center/,Meta Los Lunas Data Center
47125,Montgomery County,TN,Google,2019,Google,0,high,https://clarksvillenow.com/local/google-officially-opens-clarksville-montgomery-county-data-center/,Google Montgomery County Data Center (Clarksville)
32003,Clark County,NV,Google,2020,Google,0,medium,https://www.datacenters.com/google-henderson-nv,HUGE_METRO || Google Henderson Data Center
51087,Henrico County,VA,Meta,2020,Meta,0,high,https://www.datacenterdynamics.com/en/news/facebook-activates-henrico-data-center/,ORIGINAL_COHORT || Meta Henrico Data Center
01071,Jackson County,AL,Google,2021,Google,0,medium,https://baxtel.com/data-center/google-bridgeport,Google Jackson County Data Center (Bridgeport / Widows Creek)
01089,Madison County,AL,Meta,2021,Meta,0,high,https://datacenters.atmeta.com/asset/huntsville-data-center-info-sheet/,Meta Huntsville Data Center
13217,Newton County,GA,Meta,2021,Meta,0,medium,https://baxtel.com/data-center/facebook-newton-atlanta,Meta Newton (Stanton Springs) Data Center
32029,Storey County,NV,Google,2021,Google,0,medium,https://www.nnbw.com/news/2021/mar/22/google-storey-co-data-center-be-complete-year/,Google Storey County Data Center (Tahoe-Reno)
48139,Ellis County,TX,Google,2021,Google,0,low,https://baxtel.com/data-center/google-midlothian-tx,COUNTY_BORDER_AMBIGUITY || Google Midlothian Data Center (Ellis County)
49049,Utah County,UT,Meta,2021,Meta,0,high,https://www.deseret.com/utah/2021/7/14/22577168/facebook-fires-up-first-data-center-operations-in-utah-as-massive-construction-project-continues/,HUGE_METRO || Meta Eagle Mountain Data Center
39159,Union County,OH,AWS,2022,AWS,0,low,https://www.datacenterdynamics.com/en/news/amazon-data-centers-in-jerome-township-ohio-called-emergency-services-84-times-since-2021/,AWS Industrial Parkway / Jerome Township Campus
