model,outcome,n_obs,cv_mse_mean,cv_mse_std,cv_rmse,train_mse,overfitting_gap,dc_active_coef,dc_active_se,dc_active_ci_lo,dc_active_ci_hi,is_winner
M1,elec_rate_cents_kwh,3811,0.6588927761615601,0.12460794204687957,0.8117221052562016,0.6535497042606729,-0.00534307190088712,0.41649777944581956,0.1187774851090483,0.1836981864578423,0.6492973724337968,True
M1,unemployment_rate,4004,1.9911180353385682,0.5376928697562926,1.4110698194414648,1.9615539592789266,-0.02956407605964162,-0.11233670053876244,0.46795124042771324,-1.029504278297924,0.8048308772203993,False
M1,per_capita_income,3666,105770277.44320402,48567808.63683458,10284.46777637054,103684129.99432313,-2086147.448880881,5960.79226919658,4796.979648030483,-3441.115075514792,15362.699613907951,False
M2,elec_rate_cents_kwh,3259,0.679242265148188,0.17131720191121927,0.8241615528209187,0.6605760462469698,-0.018666218901218223,0.8872171584581955,0.1783406420955266,0.5376759229712155,1.2367583939451756,False
M2,unemployment_rate,3259,1.6064426317183478,0.3706343726204885,1.2674551793725677,1.561959784178955,-0.0444828475393928,0.42377866662560726,0.4764400147163696,-0.5100266030122105,1.357583936263425,False
M2,per_capita_income,3259,82849736.44581522,28115770.591856353,9102.183059344346,77243562.30084121,-5606174.144974008,2618.120536899636,4233.766578537848,-5679.909475983915,10916.150549783188,False
M3,elec_rate_cents_kwh,2757,0.6781429424359524,0.23174576537813282,0.823494348757751,0.6491372440562783,-0.02900569837967415,0.8920252757346657,0.20972371881119622,0.48097434016091567,1.3030762113084158,False
M3,unemployment_rate,2757,0.9526018793304056,0.12526201521728203,0.9760132577636462,0.915306324378893,-0.0372955549515126,0.5881863885279262,0.29348114625660265,0.012973911723452858,1.1633988653323994,True
M3,per_capita_income,2757,50099269.63605276,18916384.969168983,7078.083754523731,45401446.9003027,-4697822.735750057,-2353.314899769721,3266.40114349785,-8755.343500085957,4048.7137005465147,False
M4,elec_rate_cents_kwh,2757,0.6824153641666794,0.22550209560860407,0.8260843565681893,0.6540224357888084,-0.028392928377870996,0.8920252757421142,0.2097237187476158,0.4809743402929795,1.3030762111912488,False
M4,unemployment_rate,2757,0.9532519095050912,0.1285543224383182,0.9763462037131558,0.9158062146296844,-0.03744569487540683,0.5881863885319746,0.29348114627938227,0.012973911682854111,1.1633988653810952,False
M4,per_capita_income,2757,50044940.45894043,18939376.589851785,7074.244868460551,45404113.7868259,-4640826.672114529,-2353.3148997812796,3266.4011433819455,-8755.343499870345,4048.713700307787,True
M5,elec_rate_cents_kwh,2757,0.6830813015667687,0.21894615335713405,0.8264873269244778,0.6553773820396179,-0.02770391952715079,0.8920252757346657,0.20972371881119622,0.48097434016091567,1.3030762113084158,False
M5,unemployment_rate,2757,1.0094891894640914,0.1256986673479406,1.0047333922310393,0.9911701824947952,-0.018319006969296225,0.5881863885279262,0.29348114625660265,0.012973911723452858,1.1633988653323994,False
M5,per_capita_income,2757,50117395.10955839,19620743.352289002,7079.36403284634,45886913.39943124,-4230481.710127145,-2353.314899769721,3266.40114349785,-8755.343500085957,4048.7137005465147,False
