predictor,ols_coef,ols_se,ci_lo,ci_hi
const,10.441285031872972,0.09051668200579101,10.263875595141558,10.618694468604387
dc_active,0.5189476802762475,0.1300833449464681,0.2639890091926696,0.7739063513598254
year_2013,0.17429605087173292,0.02979305182615402,0.11590274230293575,0.2326893594405301
year_2014,0.5583095345749935,0.049398585245274226,0.46149008660702434,0.6551289825429627
year_2015,0.46610012109238363,0.04539388113479845,0.3771297489496865,0.5550704932350807
year_2016,0.3856248262061672,0.04041958499398378,0.3064038953479034,0.46484575706443104
year_2017,0.43524401903535703,0.0449294078206591,0.34718399786015297,0.5233040402105611
year_2018,0.2800819604978735,0.05232592242167977,0.17752503709354422,0.38263888390220274
year_2019,0.29458903829661987,0.057191538163600945,0.182495683275514,0.4066823933177257
year_2020,0.16304534185153943,0.06731908245424499,0.03110236476893699,0.2949883189341419
year_2021,0.2846760933880911,0.07015697075139445,0.14717095745092798,0.42218122932525415
year_2022,1.3335570662296488,0.09551696770157032,1.1463472496220954,1.520766882837202
state_39,1.8425024144319377,0.10441776231204145,1.6378473609540727,2.047157467909803
state_51,0.7271123979553157,0.09202558647410497,0.5467455628098936,0.9074792331007377
