predictor,coef,se,ci_lo,ci_hi
const,6.271092627618491,0.12378485857814817,6.028478762973936,6.513706492263045
dc_active,-0.11233670053876244,0.46795124042771324,-1.029504278297924,0.8048308772203993
year_2011,-0.9840909090908961,0.04291760605391904,-1.0682078712592555,-0.8999739469225366
year_2012,-1.9136363636363503,0.07417296882506627,-2.0590127111598924,-1.7682600161128081
year_2013,-2.1227272727272855,0.07964292978690175,-2.2788245467328654,-1.9666299987217057
year_2014,-3.0600649350649354,0.11080855900244346,-3.2772457198885063,-2.8428841502413644
year_2015,-3.696103896103854,0.12376393442445417,-3.938676750160761,-3.453531042046947
year_2016,-3.808441558441553,0.1273580467938865,-4.058058743298938,-3.558824373584169
year_2017,-4.104545454545435,0.13211589760635753,-4.363487855639077,-3.845603053451793
year_2018,-4.573051948051925,0.14256343510256753,-4.852471146365271,-4.293632749738579
year_2019,-4.682427478244995,0.15375036392385244,-4.983772654145673,-4.381082302344318
year_2020,-2.2018278892804983,0.0956351311722825,-2.389269302034936,-2.014386476526061
year_2021,-4.3972824347350326,0.1211488270406547,-4.634729772503988,-4.159835096966077
year_2022,-5.14468503213762,0.1398060382431736,-5.418699831915469,-4.87067023235977
state_39,3.507749123107317,0.14633202565733977,3.22094362303414,3.7945546231804936
state_51,2.267668968861769,0.1250511740774836,2.0225731714454525,2.5127647662780856
