predictor,coef,se,ci_lo,ci_hi
const,10.385578735069647,0.2378463305072536,9.91940849342042,10.851748976718874
dc_active,0.8872171584581955,0.1783406420955266,0.5376759229712155,1.2367583939451756
per_capita_income,1.0594243694700543e-06,3.5134800076394187e-06,-5.826869905904721e-06,7.94571864484483e-06
log_total_employment,-0.1591077204538888,0.03173089480081778,-0.2212991314607209,-0.09691630944705669
avg_annual_wage,5.185157135305146e-06,4.616478244076118e-06,-3.862973958496753e-06,1.4233288229107046e-05
year_2011,0.3714470076878196,0.03619609579850976,0.3005039635417789,0.44239005183386026
year_2012,1.073406813097792,0.0488387305275189,0.9776846602131981,1.169128965982386
year_2013,1.2438504432429491,0.06909465726506096,1.108427403479291,1.3792734830066073
year_2014,1.621319149385435,0.08533712490357863,1.454061458030225,1.7885768407406453
year_2015,1.5241601626223553,0.0734260847450232,1.380247680996324,1.6680726442483866
year_2016,1.4425885801077372,0.06561429903633315,1.313986917125683,1.5711902430897913
year_2017,1.4862465925562205,0.061604328888882384,1.3655043266422506,1.6069888584701904
year_2018,1.324419601764114,0.06398461554177004,1.199012059737603,1.4498271437906252
year_2019,1.3287925755768553,0.06779124560550889,1.1959241757229486,1.461660975430762
year_2020,1.184759696094543,0.0821892254448387,1.0236717743054162,1.3458476178836698
year_2021,1.2935431821189345,0.09376015348558456,1.1097766581022412,1.4773097061356277
year_2022,2.331074095747104,0.11843328252716041,2.0989491274230128,2.5631990640711955
state_39,2.15880963420894,0.11180040050706423,1.9396848757579404,2.3779343926599394
state_51,0.9185482485424634,0.09891905601682337,0.7246704613647895,1.1124260357201374
