predictor,ols_coef,ols_se,ci_lo,ci_hi
const,32539.19760393829,6565.49281371284,19671.06814830458,45407.327059571995
dc_active,2917.884653736819,4257.031834255937,-5425.744422445301,11261.51372991894
log_total_employment,-944.8094872130812,631.6020585458903,-2182.726774524385,293.10780009822247
avg_annual_wage,0.6348334977844954,0.13903144361156017,0.36233687558722605,0.9073301199817647
elec_rate_cents_kwh,-49.83158385610329,447.2773037566007,-926.4789903212225,826.8158226090159
year_2013,1210.6341223222985,236.18650163102328,747.7170854909821,1673.551159153615
year_2014,2376.1387483986355,503.3012961106203,1389.6863346494906,3362.5911621477803
year_2015,2911.2025703739014,559.5146198195102,1814.5740667040407,4007.831074043762
year_2016,1983.6873927327983,517.484119007691,969.4371569062848,2997.9376285593116
year_2017,1277.4110919010445,671.4218640366041,-38.55158004344844,2593.3737638455377
year_2018,2029.0209330866016,785.2417588560106,489.9753665719347,3568.0664996012683
year_2019,3732.4762288607017,932.1440005849134,1905.5075593091883,5559.4448984122155
year_2020,5884.65058296169,1330.4706771080253,3276.975973343341,8492.32519258004
year_2021,10077.599116321033,1568.9892712407095,7002.436652559496,13152.76158008257
year_2022,9004.982932963774,1945.718249790056,5191.445239312956,12818.520626614592
state_39,-10145.450580481302,1717.3510218590384,-13511.396732138077,-6779.504428824527
state_51,-8191.218954332464,1507.6128257350583,-11146.085795403838,-5236.3521132610895
