predictor,ols_coef,ols_se,ci_lo,ci_hi
const,7.0598495291808705,0.5638111002637257,5.9548000785800665,8.164898979781674
dc_active,0.2947503840985759,0.3636779154783629,-0.41804523221161727,1.007546000408769
per_capita_income,-5.06494273658813e-05,5.366856491406786e-06,-6.11682727992336e-05,-4.0130581932529003e-05
log_total_employment,-0.09720064647384302,0.04265114615550381,-0.18079535683798448,-0.013605936109701566
avg_annual_wage,1.5444069953631473e-05,7.767929324931774e-06,2.1920824231266145e-07,3.0668931664950285e-05
elec_rate_cents_kwh,0.002046860174648543,0.041431094061086075,-0.07915659202517149,0.08325031237446857
year_2013,-0.08515721005949037,0.02985856041034109,-0.1436789130939724,-0.02663550702500833
year_2014,-1.0029601853615402,0.0628172390019058,-1.1260797114135204,-0.87984065930956
year_2015,-1.54725520734018,0.07687031017206186,-1.6979182467578442,-1.3965921679225157
year_2016,-1.621551314486235,0.07825418477157134,-1.7749266982780576,-1.4681759306944124
year_2017,-1.9125612807033663,0.07913736165192144,-2.0676676593726535,-1.757454902034079
year_2018,-2.2599085315240757,0.09165076019318623,-2.439540720658438,-2.0802763423897135
year_2019,-2.2288907541393446,0.10805960354069641,-2.4406836852627865,-2.0170978230159027
year_2020,0.23074031325724534,0.09383148115993618,0.04683398956772181,0.41464663694676884
year_2021,-1.7093037616951807,0.1017975891771854,-1.9088233701954684,-1.509784153194893
year_2022,-2.428774037104632,0.13436641019363374,-2.6921273618160897,-2.1654207123931744
state_39,2.6520232227361156,0.17548249770472804,2.308083847317716,2.9959625981545153
state_51,1.6061543140561354,0.13339086372982503,1.3447130252789883,1.8675956028332825
