predictor,coef,se,ci_lo,ci_hi,pvalue
const,4.570556696095702,0.8651094420363563,2.8749733470189023,6.266140045172501,1.269382633498838e-07
dc_active,0.5881863885279262,0.29348114625660265,0.012973911723452858,1.1633988653323994,0.045051750978528406
per_capita_income,-2.3577061230302947e-05,5.003633714280356e-06,-3.3384003102122825e-05,-1.377011935848307e-05,2.4531201814546294e-06
log_total_employment,-0.24131607106073927,0.07125537328605408,-0.38097403640636274,-0.1016581057151158,0.0007075498474047908
avg_annual_wage,1.6733410109171927e-05,6.201536320797938e-06,4.578622271590934e-06,2.888819794675292e-05,0.0069701197620928405
elec_rate_cents_kwh,-0.00192610424262123,0.038548905162630855,-0.07748057000482786,0.0736283615195854,0.9601501099890777
poverty_rate,0.1046815791653391,0.011150335235256383,0.08282732368868864,0.12653583464198956,6.1034250589300474e-21
log_pop_density,0.2611398525084683,0.06623433241491739,0.13132294643517634,0.3909567585817602,8.058082876345892e-05
median_age,0.02118312084497613,0.014838606559550483,-0.007900013592502617,0.050266255282454875,0.15341622111978973
pct_bachelors,-0.016520417464186022,0.008918434540088775,-0.03400022796123806,0.0009593930328660183,0.06396986426508144
year_2013,-0.17216436510569944,0.028435017308518613,-0.22789597493016897,-0.1164327552812299,1.4071445308632576e-09
year_2014,-1.1412910934268563,0.06290312589828484,-1.2645789547024833,-1.0180032321512293,1.4418344975968705e-73
year_2015,-1.698824549722758,0.078839151983752,-1.8533464481825916,-1.5443026512629245,5.530654062320562e-103
year_2016,-1.7216365211895395,0.08316609424046059,-1.8846390706357063,-1.5586339717433726,3.379732432411664e-95
year_2017,-1.9633992254220125,0.08695971246865172,-2.1338371299665284,-1.7929613208774964,7.088069216030841e-113
year_2018,-2.317014622209422,0.10104118127009255,-2.5150516984541866,-2.1189775459646576,2.2600381404114366e-116
year_2019,-2.2989768696087927,0.11702748173508466,-2.5283465190109777,-2.0696072202066076,6.409816067042052e-86
year_2020,0.07430241088307729,0.09645737496348109,-0.11475057008862113,0.26335539185477574,0.4411139946471856
year_2021,-1.9846234139584271,0.11028639785332471,-2.200780781735599,-1.7684660461812551,2.1253628078557455e-72
year_2022,-2.722738051134696,0.1327171061837548,-2.9828587993872335,-2.4626173028821587,1.5703024265090752e-93
state_39,2.2089186876898332,0.15330613714000976,1.9084441802864558,2.5093931950932107,4.572282248022652e-47
state_51,1.1361771433045271,0.1510457914614935,0.8401328320236523,1.432221454585402,5.391535635526183e-14
