outcome,model,n_obs,n_predictors,cv_mse_mean,cv_rmse,train_mse,overfitting_gap,dc_active_coef_ols,dc_active_se_ols,dc_active_ci_lo_ols,dc_active_ci_hi_ols,dc_active_boot_lo,dc_active_boot_hi,n_boot,dc_active_coef_regularized,regularization_alpha,is_winner
elec_rate_cents_kwh,M1,1614,32,1.2764380322585451,1.1297955710032435,0.9331154581553206,-0.34332257410322453,0.07311210483174624,0.20865076613408154,-0.3358358821377432,0.48206009180123566,-0.313678724743904,0.5062269327215116,1000,,,True
elec_rate_cents_kwh,M2,1614,35,1.2816438647607789,1.132097109244953,0.9177406219780782,-0.3639032427827007,0.10520409270578221,0.20982161182121054,-0.30603870964193414,0.5164468950534985,-0.2861708191494876,0.5215540377948297,1000,,,False
elec_rate_cents_kwh,M3,1614,40,1.3105236847817143,1.1447810641261125,0.897848119123487,-0.4126755656582273,0.15405009953991208,0.21516732886441117,-0.26767011568401944,0.5757703147638435,-0.2759048502362058,0.6046616470213274,1000,,,False
elec_rate_cents_kwh,M3+C,1614,42,1.3109462412109862,1.1449656069991736,0.8906037684548485,-0.4203424727561378,0.13824121865157848,0.21858671700842683,-0.290180874183787,0.5666633114869439,-0.31755658519186997,0.6054250025574032,1000,,,False
elec_rate_cents_kwh,M4,1614,40,1.276687915389069,1.1299061533548125,0.9654725625935897,-0.3112153527954792,0.15405009953991208,0.21516732886441117,-0.26767011568401944,0.5757703147638435,-0.27716084003091823,0.6118226435061328,1000,0.0,0.022229964825261957,False
elec_rate_cents_kwh,M5,1614,40,1.2869717342218459,1.1344477661936867,0.9527233501363567,-0.3342483840854892,0.15405009953991208,0.21516732886441117,-0.26767011568401944,0.5757703147638435,-0.317898654903668,0.576416427654322,1000,0.020625895830822014,159.98587196060572,False
unemployment_rate,M1,1614,32,3.5727811780306693,1.890180197237996,2.620985827359145,-0.9517953506715244,-0.028370085878959894,0.28471265234894755,-0.5863966304257704,0.5296564586678505,,,0,,,False
unemployment_rate,M2,1614,36,3.008971609538787,1.7346387547667632,2.238850533308718,-0.770121076230069,0.03335469719171852,0.22723130365727345,-0.4120104741366221,0.47871986852005916,,,0,,,False
unemployment_rate,M3,1614,40,2.8102790823021295,1.6763887026289963,1.9469958582293823,-0.8632832240727473,0.13093516492825896,0.22526254998764295,-0.3105713201131748,0.5724416499696927,-0.37885754200025495,0.6454018085923585,1000,,,True
unemployment_rate,M3+C,1614,42,2.800850489039054,1.6735741659810164,1.9320457918918068,-0.8688046971472474,0.11293941729759482,0.22664904907355377,-0.3312845560168219,0.5571633906120115,-0.35670321877494027,0.6041551247541928,1000,,,False
unemployment_rate,M4,1614,40,3.3520242114334975,1.8308534106895336,3.670686589307479,0.31866237787398166,0.13093516492825896,0.22526254998764295,-0.3105713201131748,0.5724416499696927,,,0,-0.0,0.29470517025518095,False
unemployment_rate,M5,1614,40,2.8758713466793178,1.6958394224334206,2.523180832025461,-0.3526905146538568,0.13093516492825896,0.22526254998764295,-0.3105713201131748,0.5724416499696927,,,0,-0.015374340332527313,719.6856730011514,False
per_capita_income,M1,1614,32,197149912.8227297,14041.008255204813,127002020.91063482,-70147891.91209489,-440.33839391531205,1786.1619614546496,-3941.1515089218456,3060.474721091221,,,0,,,False
per_capita_income,M2,1614,35,89742890.36888161,9473.27242133792,57862515.09058805,-31880375.278293565,-2702.1945706095094,1317.9321624713698,-5285.294143120385,-119.09499809863337,,,0,,,False
per_capita_income,M3,1614,40,57940846.889201626,7611.888523172263,36941400.935165755,-20999445.95403587,-1653.8149274226625,1166.2854083341147,-3939.6923234521178,632.0624686067927,-4537.86240492766,792.180293653478,1000,,,False
per_capita_income,M3+C,1614,42,58552782.372494064,7651.97898405988,36844272.826919846,-21708509.545574218,-1667.5382538647568,1132.1483954876244,-3886.50833417531,551.4318264457966,-4480.863687487804,858.6114275030097,1000,,,False
per_capita_income,M4,1614,40,57859750.06285553,7606.559673259359,36972279.16832977,-20887470.89452576,-1653.8149274226625,1166.2854083341147,-3939.6923234521178,632.0624686067927,,,0,-474.5008892976852,10.0,False
per_capita_income,M5,1614,40,57765725.026666924,7600.3766371586435,42357448.790991865,-15408276.23567506,-1653.8149274226625,1166.2854083341147,-3939.6923234521178,632.0624686067927,,,0,-234.7897212763132,494.1713361323828,True
