predictor,coef,se,ci_lo,ci_hi
const,9.397837769788742,0.09812565783528825,9.205515014472276,9.590160525105208
dc_active,0.41649777944581956,0.1187774851090483,0.1836981864578423,0.6492973724337968
year_2011,0.35470169394739415,0.030821489160139562,0.29429268524362895,0.41511070265115935
year_2012,1.025849648787266,0.043563087585412066,0.9404675660644943,1.1112317315100375
year_2013,1.151546000381442,0.06059496498475467,1.032782051366857,1.2703099493960268
year_2014,1.5099277641727338,0.0740948252940586,1.3647045751555915,1.655150953189876
year_2015,1.4544970930068482,0.06307252074617377,1.3308772239301923,1.578116962083504
year_2016,1.4002156578472857,0.056804508272104856,1.2888808674744527,1.5115504482201187
year_2017,1.4828054466461904,0.053824742159202923,1.377310890536998,1.5883000027553829
year_2018,1.365380600543823,0.05550361858909414,1.2565955070975505,1.4741656939900953
year_2019,1.4245804586096389,0.056881422311505205,1.3130949194896757,1.536065997729602
year_2020,1.3205329453507506,0.06818980878127695,1.1868833760267747,1.4541825146747265
year_2021,1.4201648076516338,0.07066844875326297,1.2816571932519238,1.5586724220513437
year_2022,2.528921561650996,0.09264425209732628,2.347342164165587,2.7105009591364047
state_39,1.7905191865045937,0.09523031636886135,1.6038711961852703,1.9771671768239172
state_51,0.7337482156430761,0.09060669516172709,0.5561623563678915,0.9113340749182608
