predictor,coef,se,ci_lo,ci_hi
const,26652.443433578865,5661.36308601621,15556.375681582556,37748.511185575175
dc_active,2618.120536899636,4233.766578537848,-5679.909475983915,10916.150549783188
log_total_employment,-827.1878143362283,604.9990520174849,-2012.9641669713735,358.588538298917
avg_annual_wage,0.6243961809962882,0.13914965047262756,0.3516678776086013,0.8971244843839752
elec_rate_cents_kwh,123.88234899210846,412.292987027034,-684.1970566593179,931.9617546435347
year_2011,3922.610139695409,324.04017852927325,3287.503060234104,4557.717219156714
year_2012,3417.9563415809184,516.5354290844755,2405.5655038364034,4430.347179325434
year_2013,4604.176115784397,675.4944934462267,3280.231236874665,5928.120994694129
year_2014,5713.609545113226,914.0264982308962,3922.150527665406,7505.068562561046
year_2015,6274.053653179267,947.8376579232398,4416.325980458921,8131.781325899613
year_2016,5364.644795393493,872.9812143741468,3653.633056040125,7075.65653474686
year_2017,4661.95510636753,980.3524810535649,2740.499551348057,6583.410661387003
year_2018,5451.188448050474,1055.5555393062673,3382.3376073284367,7520.039288772512
year_2019,7165.160462561217,1204.2794984058341,4804.81601836582,9525.504906756614
year_2020,9360.475490512592,1574.7592002902845,6274.004173620537,12446.946807404647
year_2021,13550.153599340338,1821.673074844852,9979.739981038088,17120.567217642587
year_2022,12320.210311215997,2240.151000703824,7929.59502990514,16710.825592526853
state_39,-10513.041322202254,1604.178016892047,-13657.172460101552,-7368.910184302956
state_51,-8326.09550300161,1444.68313423283,-11157.622415170401,-5494.568590832819
