predictor,coef,se,ci_lo,ci_hi
const,9.311603530511261,0.5984895718029124,8.138585524654754,10.484621536367769
dc_active,0.42377866662560726,0.4764400147163696,-0.5100266030122105,1.357583936263425
per_capita_income,-5.3692691207129145e-05,5.751986315449462e-06,-6.496637722497733e-05,-4.241900518928095e-05
log_total_employment,-0.11273617473876632,0.04380677507300682,-0.19859587616070667,-0.026876473316825952
avg_annual_wage,1.552860653960857e-05,8.150365753250323e-06,-4.4581679759073505e-07,3.150302987680787e-05
elec_rate_cents_kwh,-0.057889341331371275,0.04683101970586833,-0.14967645331415874,0.033897770651416206
year_2011,-0.7322490709273333,0.06146061968976118,-0.8527096719867785,-0.611788469867888
year_2012,-1.6603441741632532,0.10560301513389281,-1.8673222804845213,-1.453366067841985
year_2013,-1.7301058858163625,0.11701897987988134,-1.959458871888547,-1.500752899744178
year_2014,-2.619293430571952,0.157942465934324,-2.928854975432672,-2.3097318857112326
year_2015,-3.1655038152857338,0.16936622799468418,-3.4974555223527144,-2.833552108218753
year_2016,-3.246617490180326,0.16581489685546477,-3.571608716117261,-2.9216262642433914
year_2017,-3.5346006223378885,0.16532868300311285,-3.858638886635429,-3.210562358040348
year_2018,-3.887002838063342,0.17279120292127698,-4.225667372634398,-3.548338303492287
year_2019,-3.8481278111902704,0.18876655158961878,-4.218103453791745,-3.4781521685887955
year_2020,-1.4034665306490235,0.14748359930199773,-1.6925290735912757,-1.1144039877067713
year_2021,-3.319744471527258,0.18110116430734852,-3.674696231127932,-2.9647927119265844
year_2022,-3.9748632129387587,0.21880889602473608,-4.40372076864421,-3.5460056572333065
state_39,3.3201275337377263,0.19524054299004212,2.9374631011551995,3.702791966320253
state_51,1.9863069189335685,0.14412576331419488,1.7038256135934025,2.2687882242737345
