predictor,coef,se,ci_lo,ci_hi,pvalue
const,19929.117714154305,9712.160427790586,893.6330636096318,38964.60236469898,0.04017201883707881
dc_active,-2353.314899769721,3266.40114349785,-8755.343500085957,4048.7137005465147,0.4712411537735529
log_total_employment,-732.6866420628858,680.9707204516434,-2067.3647286744,601.9914445486286,0.2819521174066504
avg_annual_wage,0.32966683699197075,0.10889346184438692,0.11623957362508583,0.5430941003588556,0.0024664654963058217
elec_rate_cents_kwh,-373.2543944507064,310.29327784767804,-981.4180436770355,234.90925477562268,0.22901176432183246
poverty_rate,-301.62301197909073,85.78657555336454,-469.76161042070953,-133.48441353747197,0.0004381507604732504
unemployment_rate,-1169.4802767131912,231.88177289882458,-1623.9602002661834,-715.000353160199,4.572519814674725e-07
log_pop_density,-498.46318994520857,750.6832850874858,-1969.7753925128948,972.8490126224776,0.5066822211248534
median_age,495.8466596173752,113.35665123510819,273.67170578849533,718.0216134462551,1.218687679522285e-05
pct_bachelors,661.4203048004869,74.01548378550294,516.3526222825927,806.487987318381,4.026281950892094e-19
year_2013,1009.9488413917846,244.49187360592686,530.753574611449,1489.1441081721202,3.614913502387589e-05
year_2014,1172.0440294849798,505.67990971538745,180.9296187373542,2163.1584402326052,0.02046243674328777
year_2015,930.6178768134143,600.5803934923907,-246.49806425256543,2107.7338178793943,0.12125414972245406
year_2016,-387.3115415417127,541.2649737985518,-1448.1713962798904,673.5483131964648,0.4742585417436552
year_2017,-1614.6676388509286,692.3347080576743,-2971.6187318910233,-257.7165458108341,0.019689820332925833
year_2018,-1403.5680532062015,825.7382844002836,-3021.98535128665,214.84924487424678,0.08917353807819364
year_2019,112.14763787114293,866.1946488258264,-1585.5626774287966,1809.8579531710825,0.8969844675904709
year_2020,5427.671787579349,1004.9615897152735,3457.9832658912946,7397.360309267404,6.631667625489882e-08
year_2021,7454.666392089515,1272.7694550517633,4960.084099565388,9949.248684613642,4.711790112072987e-09
year_2022,6362.174715756446,1605.316263223042,3215.8126560428623,9508.53677547003,7.395461517160432e-05
state_39,-184.8297884599566,1563.2816486529903,-3248.8055175122163,2879.1459405923033,0.9058839000205776
state_51,-4047.7844054829966,1532.7186632570147,-7051.8577838991205,-1043.7110270668727,0.008268171261148332
