predictor,lasso_std_coef,ols_coef,ols_se
dc_active,-128.34037712098527,-2353.3148997812796,3266.4011433819455
year_2013,256.6940502826348,1009.9488413900673,244.49187360568675
year_2014,299.7637133831106,1172.0440294838675,505.6799097158797
year_2015,228.36795541615123,930.6178768105927,600.5803934933243
year_2016,-134.818429732393,-387.31154154315243,541.2649737998233
year_2017,-490.78931444828885,-1614.6676388520498,692.334708059066
year_2018,-430.3060285035677,-1403.5680532088538,825.7382844007931
year_2019,-0.0,112.14763786914568,866.1946488241929
year_2020,1495.1811027983379,5427.671787576315,1004.96158971233
year_2021,2057.886144372575,7454.666392086108,1272.7694550458125
year_2022,1746.8786482079581,6362.174715751681,1605.3162632184276
state_39,-52.64158839856874,-184.8297884600064,1563.2816486443635
state_51,-1819.8277005777481,-4047.784405483402,1532.7186632518005
log_total_employment,-1208.3445931155634,-732.6866420616559,680.9707204501451
avg_annual_wage,3302.033314679218,0.3296668369921587,0.10889346184424893
elec_rate_cents_kwh,-436.9802500772163,-373.25439445070816,310.29327784750734
poverty_rate,-1439.755016079871,-301.6230119790908,85.78657555345342
unemployment_rate,-2352.3009241615864,-1169.4802767131912,231.88177289798216
log_pop_density,-946.7234153795804,-498.4631899452115,750.6832850858364
median_age,2414.2267077743727,495.8466596173756,113.35665123517725
pct_bachelors,5708.071701042605,661.4203048004863,74.01548378573924
