predictor,ridge_std_coef,ols_coef,ols_se
dc_active,-93.26956178150115,-2353.314899769721,3266.40114349785
log_total_employment,-925.8840293903905,-732.6866420628858,680.9707204516434
avg_annual_wage,3154.149246994163,0.32966683699197075,0.10889346184438692
elec_rate_cents_kwh,-313.82456005281045,-373.2543944507064,310.29327784767804
poverty_rate,-1670.2620011686397,-301.62301197909073,85.78657555336454
unemployment_rate,-2358.9674855522076,-1169.4802767131912,231.88177289882458
log_pop_density,-938.3799781596915,-498.46318994520857,750.6832850874858
median_age,2119.7467642997053,495.8466596173752,113.35665123510819
pct_bachelors,5055.088786596154,661.4203048004869,74.01548378550294
year_2013,62.29255881547063,1009.9488413917846,244.49187360592686
year_2014,105.06401723798162,1172.0440294849798,505.67990971538745
year_2015,52.04453343376141,930.6178768134143,600.5803934923907
year_2016,-290.5873031480815,-387.3115415417127,541.2649737985518
year_2017,-609.4632438181734,-1614.6676388509286,692.3347080576743
year_2018,-541.218543894092,-1403.5680532062015,825.7382844002836
year_2019,-125.18966215568948,112.14763787114293,866.1946488258264
year_2020,1292.4824819070889,5427.671787579349,1004.9615897152735
year_2021,1819.3427247047036,7454.666392089515,1272.7694550517633
year_2022,1523.2097959921427,6362.174715756446,1605.316263223042
state_39,-266.6227968334841,-184.8297884599566,1563.2816486529903
state_51,-1615.1219795323718,-4047.7844054829966,1532.7186632570147
