predictor,ridge_std_coef,ols_coef,ols_se
dc_active,0.015997559425542363,0.5881863885279262,0.29348114625660265
per_capita_income,-0.35133278977860805,-2.3577061230302947e-05,5.003633714280356e-06
log_total_employment,-0.11880269207137394,-0.24131607106073927,0.07125537328605408
avg_annual_wage,0.09071951286800102,1.6733410109171927e-05,6.201536320797938e-06
elec_rate_cents_kwh,0.08164259976727707,-0.00192610424262123,0.038548905162630855
poverty_rate,0.45471008518994793,0.1046815791653391,0.011150335235256383
log_pop_density,0.3733681841510628,0.2611398525084683,0.06623433241491739
median_age,0.11902224757688128,0.02118312084497613,0.014838606559550483
pct_bachelors,-0.16471144598776782,-0.016520417464186022,0.008918434540088775
year_2013,0.12632972278872542,-0.17216436510569944,0.028435017308518613
year_2014,-0.13721703784717998,-1.1412910934268563,0.06290312589828484
year_2015,-0.28271026462977994,-1.698824549722758,0.078839151983752
year_2016,-0.2880020571314259,-1.7216365211895395,0.08316609424046059
year_2017,-0.3523000713518908,-1.9633992254220125,0.08695971246865172
year_2018,-0.4411711187362923,-2.317014622209422,0.10104118127009255
year_2019,-0.4316546670363493,-2.2989768696087927,0.11702748173508466
year_2020,0.2158175137766343,0.07430241088307729,0.09645737496348109
year_2021,-0.3145724959138048,-1.9846234139584271,0.11028639785332471
year_2022,-0.5210010528304791,-2.722738051134696,0.1327171061837548
state_39,0.7818831742408164,2.2089186876898332,0.15330613714000976
state_51,0.39265398621976516,1.1361771433045271,0.1510457914614935
